AJIJETIS-AJIPANGGUNGREJO,3,AJIJETIS-AJIPANGGUNGREJO,"KOTA SURABAYA",2
BHMSIDOARJO-BHMASEMROWO,3,BHMSIDOARJO-BHMASEMROWO,"KOTA SURABAYA",2
CMXBENOWO-CMXBENOWO,2,CMXBENOWO-CMXBENOWO,"JAWA TIMUR",3
CMXBENOWO-CMXNGORO,2,CMXBENOWO-CMXNGORO,"JAWA TIMUR",3
CMXBENOWO-CMXNGORO,2,CMXBENOWO-CMXNGORO,"JAWA TIMUR",3
CMXBENOWO-CMXNGORO,2,CMXBENOWO-CMXNGORO,"JAWA TIMUR",3
CMXBENOWO-CMXSUKOREJO,2,CMXBENOWO-CMXSUKOREJO,"JAWA TENGAH",5
CMXBENOWO-CMXSUKOREJO,2,CMXBENOWO-CMXSUKOREJO,"JAWA TENGAH",5
CMXBENOWO-CMXSUKOREJO,2,CMXBENOWO-CMXSUKOREJO,"JAWA TENGAH",5
CMXKEBOMAS-CMXGEDANGAN,2,CMXKEBOMAS-CMXGEDANGAN,"JAWA TIMUR",3
"CMXPABEAN CANTIAN-CMXKEBOMAS",2,"CMXPABEAN CANTIAN-CMXKEBOMAS","JAWA TIMUR",3
CMXPANDAAN-CMXSEDATI,2,CMXPANDAAN-CMXSEDATI,"JAWA TIMUR",3
EXIM_AIDASEMROWO-EXIM_AIDASEMROWO,3,EXIM_AIDASEMROWO-EXIM_AIDASEMROWO,"KOTA SURABAYA",2
EXIM_AIDASEMROWO-EXIM_AIDASEMROWO,3,EXIM_AIDASEMROWO-EXIM_AIDASEMROWO,"KOTA SURABAYA",2
"EXIM_AIDPABEAN CANTIAN-EXIM_AIDASEMROWO",3,"EXIM_AIDPABEAN CANTIAN-EXIM_AIDASEMROWO","KOTA SURABAYA",2
EXIM_CAPASEMROWO-EXIM_CAPKEBOMAS,5,EXIM_CAPASEMROWO-EXIM_CAPKEBOMAS,"KOTA SURABAYA",2
EXIM_DKJASEMROWO-EXIM_DKJMANYAR,2,EXIM_DKJASEMROWO-EXIM_DKJMANYAR,"JAWA TENGAH",5
"EXIM_DKJPABEAN CANTIAN-EXIM_DKJMANYAR",2,"EXIM_DKJPABEAN CANTIAN-EXIM_DKJMANYAR","JAWA TIMUR",3
EXIM_ELIBENOWO-EXIM_ELIGRESIK,3,EXIM_ELIBENOWO-EXIM_ELIGRESIK,"KOTA SURABAYA",2
EXIM_ELIBENOWO-EXIM_ELIGRESIK,3,EXIM_ELIBENOWO-EXIM_ELIGRESIK,"KOTA SURABAYA",2
EXIM_ELIBENOWO-EXIM_ELIGRESIK,3,EXIM_ELIBENOWO-EXIM_ELIGRESIK,"KOTA SURABAYA",2
EXIM_FITASEMROWO-EXIM_FITMANYAR,5,EXIM_FITASEMROWO-EXIM_FITMANYAR,"KOTA SURABAYA",2
