Load ID,Carrier Name,Customer Name,Load Status,Load Group,Order Type,Order Create Date,Order Number,Pick-up Location Reference Number,Delivery Location Name,Shipping Comment,Driver Name,Load Payable Total Base Rate,Load Payable Total Accessorials,Payable Total Rate,Billable Method,Weight (kg),Billable Total Rate,Load Profit/Loss Amount,Load Profit/Loss Percentage
56988007,BAHANA PRESTASI,PT TIRTA INVESTAMA,Completed,SURABAYA LOG PACK,SALES ORDER,01/06/2021 13:41,5039800973,TIVPANDAAN(PP),TIVKARTASURA,,1100,2181000.00,170000.00,2351000.00,TIV_SBY(TRIP_ONCALL),"1,000.00",4600000.00,2249000,48.891
56988015,BAHANA PRESTASI,GREENFIELDS DAIRY INDONESIA,Completed,SURABAYA LOG PACK,SALES ORDER,01/06/2021 13:43,GD3221511873/0080120690,GDINGAJUM,GDITANGERANG,,1194,2124000.00,1130000.00,3254000.00,GDI_SBY(TRIP),"1,000.00",5200000.00,1946000,37.423
56993991,BAHANA PRESTASI,PT SINAR MAS AGRO RESOURCES AND,Completed,SURABAYA LOG PACK,SALES ORDER,01/06/2021 20:41,40467631,SMRRUNGKUT(PP),SMRPOLANHARJO,,1172,1175000.00,1940000.00,3115000.00,SMR_SBY(TRIP),"22,000.00",3750000.00,635000,16.933
56993993,BAHANA PRESTASI,PT SINAR MAS AGRO RESOURCES AND,Completed,SURABAYA LOG PACK,SALES ORDER,01/06/2021 20:41,40467632,SMRRUNGKUT(PP),SMRPOLANHARJO,,1070,1175000.00,1590000.00,2765000.00,SMR_SBY(TRIP),"22,000.00",3750000.00,985000,26.267
57009118,BAHANA PRESTASI,PT TIRTA INVESTAMA,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 16:34,5039816792,TIVPANDAAN(PP),TIVKARTASURA,,685,2181000.00,470000.00,2651000.00,TIV_SBY(TRIP_ONCALL),"1,000.00",4600000.00,1949000,42.37
57009687,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 19:46,2100396685,LTLASEMROWO,LTLSIDOARJO,,613,64000.00,117500.00,53382.36,LTL_SBY(TRIP),500.00,1.00,238503,56.786
56988021,BAHANA PRESTASI,GREENFIELDS DAIRY INDONESIA,Completed,SURABAYA LOG PACK,SALES ORDER,01/06/2021 13:45,GDI0106212,GDINGAJUM,GDIKELAPA DUA TANGERANG,,1298,991000.00,999500.00,1990500.00,GDI_SBY(TRIP),600.00,2600000.00,609500,23.442
56994002,BAHANA PRESTASI,PT SINAR MAS AGRO RESOURCES AND,Completed,SURABAYA LOG PACK,SALES ORDER,01/06/2021 20:42,40467635,SMRRUNGKUT(PP),SMRPOLANHARJO,,1144,822000.00,1063000.00,1885000.00,SMR_SBY(TRIP),"11,000.00",3350000.00,1465000,43.731
57009619,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 20:16,2100396904,LTLASEMROWO,LTLBEJI PASURUAN,,1046,85000.00,192000.00,46166.64,LTL_SBY(TRIP),100.00,1.00,230501,45.419
57009619,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 20:15,2100396831,LTLASEMROWO,LTLPURWOSARI,,1046,85000.00,192000.00,230833.36,LTL_SBY(TRIP),500.00,507500.00,230501,45.419
57009635,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 20:18,2100397115,LTLASEMROWO,LTLREMBANG,,1046,81000.00,181000.00,262000.00,LTL_SBY(TRIP),760.00,505000.00,243000,48.119
57000209,BAHANA PRESTASI,OMYA INDONESIA,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 09:42,40345854,OMIPACIRAN,OMISIDOARJO,,651,401000.00,554000.00,955000.00,OMI_SBY(KG),"30,240.00",2086560.00,1131560,54.231
57000242,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 09:48,2100396720,LTLDRIYOREJO,LTLGEMPOL(OW),,616,857000.00,750000.00,1607000.00,LTL_SBY(TRIP),"25,000.00",2150000.00,543000,25.256
57000248,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,31/05/2021 20:14,2100396637,LTLASEMROWO,LTLDRIYOREJO,,615,58000.00,123500.00,181500.00,LTL_SBY(TRIP),"2,500.00",420000.00,238500,56.786
57002411,BAHANA PRESTASI,PT SINAR MAS AGRO RESOURCES AND,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 12:24,40467654,SMRRUNGKUT(PP),SMRMUNGKID,,1273,1311000.00,1419000.00,2730000.00,SMR_SBY(TRIP),995.00,3248000.00,518000,15.948
57004210,BAHANA PRESTASI,PT SINAR MAS AGRO RESOURCES AND,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 15:17,40467846,SMRRUNGKUT,SMRKUTA UTARA,,1214,1660000.00,2603000.00,4263000.00,SMR_SBY(TRIP),"22,000.00",7050000.00,2787000,39.532
57008669,"DIVA TRANS, CV",ECCO TANNERY INDONESIA,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 19:21,01/VI/LINC-ECCO/2021,ETIKEBOMAS,ETISIDOARJO,,DIVA,1300000.00,.00,1300000.00,ETI_SBY(TRIP),"15,762.00",2000000.00,700000,35
57009650,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 20:32,2100397213,LTLASEMROWO,LTLRUNGKUT,,615,32000.00,120000.00,152000.00,LTL_SBY(TRIP),500.00,345000.00,193000,55.942
57009658,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 20:35,2100397234,LTLASEMROWO,LTLMANYAR,,615,40000.00,141500.00,165000.01,LTL_SBY(TRIP),"1,000.00",420000.00,238501,56.786
57009658,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 20:34,2100397233,LTLASEMROWO,LTLMANYAR,,615,40000.00,141500.00,16499.99,LTL_SBY(TRIP),100.00,1.00,238501,56.786
57009637,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 19:54,2100397215,LTLASEMROWO,LTLDRIYOREJO,,617,58000.00,138500.00,196500.00,LTL_SBY(TRIP),"2,000.00",420000.00,223500,53.214
57009687,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 19:47,2100396688,LTLASEMROWO,LTLSIDOARJO,,613,64000.00,117500.00,106764.71,LTL_SBY(TRIP),"1,000.00",1.00,238503,56.786
57009687,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 19:49,2100397153,LTLASEMROWO,LTLSIDOARJO,,613,64000.00,117500.00,13345.57,LTL_SBY(TRIP),125.00,1.00,238503,56.786
57009692,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 19:52,2100397147,LTLASEMROWO,LTLNGORO,,613,94000.00,160500.00,254500.00,LTL_SBY(TRIP),"1,600.00",505000.00,250500,49.604
57009724,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 19:35,2100397192,LTLASEMROWO,LTLGEDANGAN,,623,31000.00,126000.00,43564.57,LTL_SBY(TRIP),260.00,1.00,206001,56.749
57009724,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 19:33,2100397155,LTLASEMROWO,LTLGEDANGAN,,623,31000.00,126000.00,113435.43,LTL_SBY(TRIP),677.00,363000.00,206001,56.749
57009733,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 20:22,2100396775,LTLKEBOMAS,LTLASEMROWO,,1170,22000.00,227500.00,249500.00,LTL_SBY(TRIP),"5,000.00",632000.00,382500,60.522
57009740,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 20:11,2100397179,LTLKEBOMAS,LTLKREMBANGAN,,620,67000.00,188000.00,255000.00,LTL_SBY(TRIP),"7,200.00",835000.00,580000,69.461
57009779,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 20:20,2100396638,LTLASEMROWO,LTLDRIYOREJO,,614,62000.00,150500.00,212500.00,LTL_SBY(TRIP),"5,000.00",564000.00,351500,62.323
57017406,BAHANA PRESTASI,PT. LAUTAN LUAS TBK,Completed,SURABAYA LOG PACK,SALES ORDER,03/06/2021 17:20,2100397384,LTLASEMROWO,LTLTANDES,,1152,30000.00,149500.00,25839.73,LTL_SBY(TRIP),75.00,345000.00,190503,51.487
57000208,BAHANA PRESTASI,OMYA INDONESIA,Completed,SURABAYA LOG PACK,SALES ORDER,02/06/2021 09:40,40348490,OMIPACIRAN,OMIGEMPOL,,650,453000.00,585000.00,1038000.00,OMI_SBY(KG),"30,000.00",2550000.00,1512000,59.294
