Reference ;Name;Status;Address 1;Address 2;Address 3;City;State;Postal Code;Country;Time Zone;Parent Customer;Default Freight Terms;Freight Billable Party;Supports Billable Rating?;Supports Manual Billable Rate?;Billable Methods;Default Billable Method;Default Trans. Currency;Bill Canadian Taxes?;Bill Value Added Taxes?;Supports Billable Invoicing?;Requires POD?;Shipment Consolidation;Geography Consolidation
3000018070;A&P INDUSTRY INDONESIA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000018070;;3000018070;YES;NO;EXIM_ANP;;IDR;NO;No;YES;YES;Allow;Both
300000066;ADETEX;ENABLED;JL DAYANG SUMBI 4 & 6, BANDUNG, 40132, LEBAK SILIW;;;BANDUNG;JB;;ID;Asia/Jakarta;300000066;;300000066;YES;NO;ADX_SMG(TO;;IDR;NO;No;YES;YES;Allow;Both
3000019373;ADITYA RIZKY VALENTINO;ENABLED;BANTEN DALAM NO 46 RT 02 W 02;PENANGGUNGAN KLOJEN;KOTAMADYA MALANG;MALANG;JI;65119;ID;Asia/Jakarta;3000019373;;3000019373;YES;YES;ARV_SBYTRI;;IDR;NO;No;YES;YES;Allow;Both
3000009799;ADITYA SARANA GRAHA;ENABLED;JL. DAAN MOGOT KM 18 KAV 7A-7F, RT 001 RW 05,;;;JAKARTA BARAT;JK;;ID;Asia/Jakarta;3000009799;;3000009799;YES;NO;ASG_SMG(TO;;IDR;NO;No;YES;YES;Allow;Both
3000015848;AGILITY INTERNATIONAL;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000015848;;;NO;;;;;;;NO;;;
3000012865;AKBAR BUDI SAKTI;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000012865;;3000012865;YES;NO;EXIM_ABS(T;;IDR;NO;No;YES;YES;Allow;Both
3000018650;ALAM SEJAHTERA;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000018650;;;NO;;;;;;;NO;;;
3000014514;ALAS GEMBOL;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000014514;;;NO;;;;;;;NO;;;
3000021131;AMAN INDAH MAKMUR;ENABLED;KAWASAN INDUSTRI CANDI, JALAN GATOT SUBROTO BLOK 1;;;SEMARANG;JT;;ID;Asia/Jakarta;3000021131;;3000021131;YES;NO;AIM_SMG(TO;;IDR;NO;No;YES;YES;Allow;Both
3000014429;ANDALAN DUNIA SEMESTA;ENABLED;;;;JAKARTA PUSAT;JK;10130;ID;Asia/Jakarta;3000014429;;3000014429;YES;YES;ADS(TO),ADS_MDN(TO,ADS_SBYTRI;;IDR;NO;No;YES;YES;Allow;Both
