Reference *;Name *;Status *
3000018070;A&P INDUSTRY INDONESIA;ENABLED
300000066;ADETEX;ENABLED
3000019373;ADITYA RIZKY VALENTINO;ENABLED
3000009799;ADITYA SARANA GRAHA;ENABLED
3000015848;AGILITY INTERNATIONAL;ENABLED
3000012865;AKBAR BUDI SAKTI;ENABLED
3000018650;ALAM SEJAHTERA;ENABLED
3000014514;ALAS GEMBOL;ENABLED
3000021131;AMAN INDAH MAKMUR;ENABLED
3000014429;ANDALAN DUNIA SEMESTA;ENABLED
3000007146;ANDHIKA  ANDALANTAMA;ENABLED
3000019366;ANDHIKA  TIRTA ABADI;ENABLED
3000015223;AQUA GOLDEN MISSISSIPPI;ENABLED
3000000470;ARGHA KARYA PRIMA INDUSTRY TBK;ENABLED
3000021303;ARINDO GARMENTAMA;ENABLED
3000018645;ARYASENA;ENABLED
3000020645;ASHERINDO DUTA PRATAMA;ENABLED
3000000615;ATLANTIC OCEAN PAINT;ENABLED
3000016841;BANUA AGUNG ANITAMA;ENABLED
3000019397;BINTANG SIDORAYA;ENABLED
3000008924;BRIDGESTONE TIRE INDONESIA;ENABLED
3000013859;BTL SANKYO GLOBAL CO.,LTD;ENABLED
3000018773;BUDIJAYA MAKMURSENTOSA;ENABLED
CMLKEBOMAS;CMLKEBOMAS;ENABLED
CMLSUKOMANUNGGAL;CMLSUKOMANUNGGAL;ENABLED
3000001294;CRYSTAL CLEAR CHEMICALS;ENABLED
3000021212;CV AMINKA KARYA LANGGENG ABADI;ENABLED
3000016162;CV MANNA ANUGERAH SEJAHTERA;ENABLED
3000009517;CV MEGA MURNI KIMIA;ENABLED
3000022026;CV. BOHLINDO TEKNIK;ENABLED
3000021113;CV. C&R ENVIRO ENGINEERING;ENABLED
3000015998;CV. KAYSAR TRANS LOGISTICS;ENABLED
3000020728;CV. MEKAR PRATAMA BAN;ENABLED
3000019455;CV. MITRA MULIA;ENABLED
3000021274;CV. NATURE AGRO SPICES;ENABLED
3000019439;CV. TIRTA AGUNG;ENABLED
3000019454;CV. WAHYU JAYA;ENABLED
3000021646;CV.DUA MARELIKA GEMILANG;ENABLED
3000020136;DAELIM CORPORATION;ENABLED
OTC2711TRD;DASRUL;ENABLED
3000018657;DIVA TRANS;ENABLED
3000015775;DOLLAR FURNITURE;ENABLED
3000018552;DYNAMIC BOILER NUSANTARA;ENABLED
3000001607;DYNAPLAST;ENABLED
3000018458;DYNIC TEXTILE PRESTIGE;ENABLED
3000009088;ECCO INDONESIA;ENABLED
3000001618;ECCO TANNERY INDONESIA;ENABLED
3000001665;ELANG PERDANA TYRE INDUSTRY;ENABLED
3000007217;ELITE INTERNATIONAL LOGISTIC (M);ENABLED
3000007219;ELITE INTERNATIONAL LOGISTICS;ENABLED
3000019022;ERWIN PRAYOGA;ENABLED
3000017658;FAR EAST LEAF INDONESIA;ENABLED
3000019715;FASTANA LOGISTIK INDONESIA;ENABLED
3000011262;FENIX FREIGHT;ENABLED
3000018153;FERTILIZER INTI TECHNOLOGY;ENABLED
3000018130;FIRST CABLE INDUSTRIES;ENABLED
3000001937;GARUDAFOOD PUTRA PUTRI JAYA TBK;ENABLED
3000018705;GCB COCOA INDONESIA;ENABLED
3000017789;GLOBAL TIGA BERLIAN;ENABLED
3000018573;GLOBAL TRANS MAJU EMPAT EMPAT;ENABLED
3000007275;GLOBE EXPRESS LOGISTICS CO.,LTD;ENABLED
3000017794;GOLD COIN TRADING INDONESIA;ENABLED
3000002037;GRAHA SERIBUSATUJAYA;ENABLED
3000016548;GRAHABERLIAN SEJATI;ENABLED
3000019399;GRAND PASIFIC PRATAMA;ENABLED
3000016749;GREENFIELDS DAIRY INDONESIA;ENABLED
3000002062;GS BATTERY;ENABLED
3000021044;GUNUNG SLAMAT;ENABLED
3000021807;GUYOVITAL;ENABLED
3000018728;HARMONI DINAMIK INDONESIA;ENABLED
3000018627;HARMONY DEKORINDO;ENABLED
3000008809;IDLE CAP;ENABLED
3000018014;IFL LOGISTICS (SHANGHAI) CO.,LTD;ENABLED
3000022013;IGUN PURWANTO;ENABLED
3000002489;INDOCIPTA WISESA;ENABLED
3000002599;INSERA SENA;ENABLED
3000019453;INTERBUANA MAKMUR;ENABLED
3000007355;INTERKRAFT;ENABLED
3000018654;INTI GLOBAL NETWORK;ENABLED
3000018768;JASA PRIMA LOGISTIK BULOG;ENABLED
