"Location Reference Number","Location Name","Address 1","Address 2","Address 3","Location Country","Location City","Location State/Province","Location Postal Code","Time Zone","Latitude","Longitude","Created By","Modified By","Status","Appt Entry Comment","Customer Standard Location Number"
"6419864","LINC GROUP","THE BELLEZA GAPURA PRIMA OFFICE TOWER","2ND FLOOR #217-222, 228-229 SA","JL. LEJEND. SOEPENO NO. 34","ID","ARTERI PERMATA HIJAU","JK","12210","Asia/Jakarta","-6.22","106.79","ll_kmccauslin","advisoradmin",1020," "," "
"VEHICLE_MARUNDA","VEHICLE_MARUNDA","MARUNDA JAKARTA UTARA","MARUNDA JAKARTA UTARA","MARUNDA JAKARTA UTARA","ID","JAKARTA UTARA","JK","14150","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"AMAPONDOK AREN","AMAPONDOK AREN","PONDOK AREN","PONDOK AREN","TANGERANG","ID","PONDOK AREN","BT","15224","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"AMASETIAMULYA","AMASETIAMULYA","SETIAMULYA","MANGKUBUMI","TASIKMALAYA","ID","SETIAMULYA","JB","46181","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCABABAKAN","BCABABAKAN","BABAKAN","BABAKAN","TANGERANG","ID","BABAKAN","BT","15118","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCABALI MESTER","BCABALI MESTER","BALI MESTER","JATINEGARA","JAKARTA TIMUR","ID","BALI MESTER","JK","13310","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCABAMBU SELATAN","BCABAMBU SELATAN","BAMBU SELATAN","PALMERAH","JAKARTA BARAT","ID","BAMBU SELATAN","JK","11410","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCABARANANGSIANG","BCABARANANGSIANG","BARANANGSIANG","BOGOR KOTA","BOGOR","ID","BARANANGSIANG","JB","16143","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCACIBINONG","BCACIBINONG","CIBINONG","CIBINONG","BOGOR","ID","CIBINONG","JB","16913","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCACIBUBUR","BCACIBUBUR","CIBUBUR","CIBUBUR","JAKARTA TIMUR","ID","CIBUBUR","JK","13720","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCACIKARANG UTARA_001","BCACIKARANG UTARA(KCP CIKARANG)","JL YOS SUDARSO BLOK B NO. 5-6","CIKARANG KOTA","CIKARANG","ID","CIKARANG UTARA","JB","17530","Asia/Jakarta","-6.26","107.15","LG_SSanto","advisoradmin",1020," "," "
"BCACIRENDEU","BCACIRENDEU","CIRENDEU","CIRENDEU","TANGERANG","ID","CIRENDEU","BT","15411","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCAGROGOL","BCAGROGOL","GROGOL","SLIPI","JAKARTA BARAT","ID","GROGOL","JK","12220","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCAJAGAKARSA","BCAJAGAKARSA","JAGAKARSA","JAGAKARSA","JAKARTA SELATAN","ID","JAGAKARSA","JK","12530","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCAJATIUWUNG_001","BCAJATIUWUNG(KCP ANEKA SUBUR JATAKE)","JL RAYA GATOT SUBROTO KM. 7","JATAKE","TANGERANG","ID","JATIUWUNG","BT","15136","Asia/Jakarta","-6.20","106.57","LG_SSanto","advisoradmin",1020," "," "
"BCAJELAMBAR","BCAJELAMBAR","JELAMBAR","GROGOL PETAMBURAN","JAKARTA BARAT","ID","JELAMBAR","JK","11460","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCAJOMBANG WETAN","BCAJOMBANG WETAN","JOMBANG WETAN","JOMBANG","CILEGON","ID","JOMBANG WETAN","BT","42411","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCAKEBAYORAN LAMA_001","BCAKEBAYORAN LAMA(KCP PALMERAH)","JL PALMERAH BARAT 38 A","GROGOL UTARA","JAKARTA SELATAN","ID","KEBAYORAN LAMA","JK","12230","Asia/Jakarta","-6.21","106.78","LG_SSanto","advisoradmin",1020," "," "
"BCALARANGAN","BCALARANGAN","LARANGAN","LARANGAN","TANGERANG","ID","LARANGAN","BT","15156","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCAMAPHAR","BCAMAPHAR","MAPHAR","TAMAN SARI","JAKARTA BARAT","ID","MAPHAR","JK","11160","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCAPASIR SARI","BCAPASIR SARI","PASIR SARI","CIKARANG BARAT","BEKASI","ID","PASIR SARI","JB","17530","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCAPEGADUNGAN","BCAPEGADUNGAN","PEGADUNGAN","KALIDERES","JAKARTA BARAT","ID","PEGADUNGAN","JK","11840","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCAPONDOK JAGUNG TIMUR","BCAPONDOK JAGUNG TIMUR","PONDOK JAGUNG TIMUR","SERPONG UTARA","TANGERANG SELATAN","ID","PONDOK JAGUNG TIMUR","BT","15326","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCARAWAMANGUN","BCARAWAMANGUN","RAWAMANGUN","PULOGADUNG","JAKARTA TIMUR","ID","RAWAMANGUN","JK","13220","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"BCASERANG_001","BCASERANG(KCP CIKANDE)","JL RAYA JAKARTA SERANG KM.68 KOMP.RUKO BLOK C-6","NAMBO ILIR","SERANG","ID","SERANG","BT","42112","Asia/Jakarta","-6.18","106.34","LG_SSanto","advisoradmin",1020," "," "
"BCASERPONG UTARA_003","BCASERPONG UTARA(KCP GRAHA RAYA BINTARO)","JL KOMP RUKO PASAR SEGAR BLOK RA-1 NO. 12 & 15","PAKU JAYA","TANGERANG","ID","SERPONG UTARA","BT","15320","Asia/Jakarta","-6.25","106.67","LG_SSanto","advisoradmin",1020," "," "
"SDNSUKABUMI","SDNSUKABUMI","SUKABUMI","SUKABUMI","SUKABUMI","ID","SUKABUMI","JB","43341","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"MULPAKULONAN BARAT","MULPAKULONAN BARAT","PAKULONAN BARAT","PAKULONAN BARAT","PAKULONAN BARAT","ID","PAKULONAN BARAT","BT","15810","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"SDNBUAH BATU_001","SDNBUAH BATU(PT SINARMAS DISTRIBUSI NUSANTARA)","JL SOEKARNO HATTA NO.671 JATISARI","BUAH BATU","BANDUNG","ID","BUAH BATU","JB","40287","Asia/Jakarta","-6.96","107.65","LG_SSanto","advisoradmin",1020," "," "
"SDNKALI RUNGKUT","SDNKALI RUNGKUT","KALI RUNGKUT","KALI RUNGKUT","KALI RUNGKUT","ID","KALI RUNGKUT","JI","60293","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"UNVDRANGONG","UNVDRANGONG","DRANGONG","DRANGONG","DRANGONG","ID","DRANGONG","BT","42162","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"MYRKARAWANG BARAT","MYRKARAWANG BARAT","KARAWANG BARAT","KARAWANG BARAT","KARAWANG BARAT","ID","KARAWANG BARAT","JB","41318","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
"DANCITEUREUP","DANCITEUREUP","CITEUREUP","CITEUREUP","CITEUREUP","ID","CITEUREUP","JB","16810","Asia/Jakarta","0.00","0.00","LG_SSanto","advisoradmin",1034," "," "
