NO.;NOPOL;FUNGSIONAL;OWNERSHIP;OWNER;UNIT TYPE;V. GPS;SITE;AREA;AMBIL/ TIDAK;KATEGORI;KATEGORI;Limit_KG;Taken
1;B9011UEA;LOGISTIK;OWN;OWN;TRAILER;INNOVATRACK;ESSAR;JAKARTA;AMBIL;45 ton;45 ;45000;1
2;B9014UEA;LOGISTIK;OWN;OWN;TRAILER;OSLOG;ESSAR;JAKARTA;AMBIL;45 ton;45 ;45000;1
3;B9015BL;LOGISTIK;OWN;OWN;TIPPING DUMP;OSLOG;ZPLAN JUAL;JAKARTA;TIDAK;;0;0;0
4;B9015UEA;LOGISTIK;OWN;OWN;TRAILER;A TRACK;ZPLAN JUAL;JAKARTA;AMBIL;45 ton;45 ;45000;1
5;B9016UEA;LOGISTIK;OWN;OWN;TRAILER;OSLOG;ZPLAN JUAL;JAKARTA;AMBIL;45 ton;45 ;45000;1
6;B9017UEA;LOGISTIK;OWN;OWN;TRAILER;INNOVATRACK;ESSAR;JAKARTA;AMBIL;45 ton;45 ;45000;1
7;B9018UEA;LOGISTIK;OWN;OWN;TRAILER;OSLOG;ESSAR;JAKARTA;AMBIL;45 ton;45 ;45000;1
8;B9030UEJ;LOGISTIK;OWN;OWN;TRAILER;OSLOG;ZPLAN JUAL;JAKARTA;AMBIL;45 ton;45 ;45000;1
9;B9058SXS;LOGISTIK;OWN;OWN;CDD CHILLER;OSLOG;NL SURABAYA;SURABAYA;AMBIL;5 TON;5 ;5000;1
10;B9059SXS;LOGISTIK;OWN;OWN;CDE CHILLER;OSLOG;NL SURABAYA;SURABAYA;AMBIL;3 TON;3 ;3000;1
11;B9060SXS;LOGISTIK;OWN;OWN;CDE CHILLER;OSLOG;NL SURABAYA;SURABAYA;AMBIL;3 TON;3 ;3000;1
12;B9061SXS;LOGISTIK;OWN;OWN;CDE CHILLER;OSLOG;NL SURABAYA;SURABAYA;AMBIL;3 TON;3 ;3000;1
13;B9062SXS;LOGISTIK;OWN;OWN;CDE CHILLER;OSLOG;NL SURABAYA;SURABAYA;AMBIL;3 TON;3 ;3000;1
14;B9063SXS;LOGISTIK;OWN;OWN;CDE CHILLER;OSLOG;NL SURABAYA;SURABAYA;AMBIL;3 TON;3 ;3000;1
15;B9064SXS;LOGISTIK;OWN;OWN;CDE CHILLER;OSLOG;NL SURABAYA;SURABAYA;AMBIL;3 TON;3 ;3000;1
16;B9066UCK;LOGISTIK;OWN;OWN;CDE BOX;OSLOG;CML CIBITUNG;JAKARTA;AMBIL;3 TON;3 ;3000;1
17;B9067UCK;LOGISTIK;OWN;OWN;CDE BOX;OSLOG;CML CIBITUNG;JAKARTA;AMBIL;3 TON;3 ;3000;1
18;B9068SXS;LOGISTIK;OWN;OWN;CDE CHILLER;OSLOG;NL SURABAYA;SURABAYA;AMBIL;3 TON;3 ;3000;1
19;B9068UCK;RENTAL;OWN;OWN;CDE BOX;OSLOG;CML CIBITUNG;JAKARTA;AMBIL;3 TON;3 ;3000;1
20;B9068ZW;LOGISTIK;OWN;OWN;CDD LOSS BAK;OSLOG;AMA;JAKARTA;AMBIL;5 TON;5 ;5000;1
21;B9069SXS;LOGISTIK;OWN;OWN;CDE CHILLER;OSLOG;NL SURABAYA;SURABAYA;AMBIL;3 TON;3 ;3000;1
22;B9069UCK;LOGISTIK;OWN;OWN;CDE BOX;OSLOG;CML CIBITUNG;JAKARTA;AMBIL;3 TON;3 ;3000;1
23;B9070UCK;RENTAL;OWN;OWN;CDE BOX;OSLOG;CML CIBITUNG;JAKARTA;AMBIL;3 TON;3 ;3000;1
24;B9071UCK;RENTAL;OWN;OWN;CDE BOX;OSLOG;CML CIBITUNG;JAKARTA;AMBIL;3 TON;3 ;3000;1
25;B9073UCK;RENTAL;OWN;OWN;CDE BOX;OSLOG;CML CIBITUNG;JAKARTA;AMBIL;3 TON;3 ;3000;1
26;B9074UCK;RENTAL;OWN;OWN;CDE BOX;OSLOG;CML CIBITUNG;JAKARTA;AMBIL;3 TON;3 ;3000;1
27;B9081IG;LOGISTIK;OWN;OWN;CDE BOX;OSLOG;CML CIBITUNG;JAKARTA;AMBIL;3 TON;3 ;3000;1
28;B9104ZJ;LOGISTIK;OWN;OWN;L300;OSLOG;SURABAYA;SURABAYA;AMBIL;1 TON;1 ;1000;1
29;B9112UCC;LOGISTIK;OWN;OWN;CDE BOX;OSLOG;SINAR MEDOW;JAKARTA;AMBIL;3 TON;3 ;3000;1
30;B9113UCC;LOGISTIK;OWN;OWN;CDE BOX;OSLOG;CML CIBITUNG;JAKARTA;AMBIL;3 TON;3 ;3000;1
31;B9118UCC;LOGISTIK;OWN;OWN;CDE BOX;OSLOG;CML CIBITUNG;JAKARTA;AMBIL;3 TON;3 ;3000;1
32;B9121UCC;LOGISTIK;OWN;OWN;CDE BOX;OSLOG;CML CIBITUNG;JAKARTA;AMBIL;3 TON;3 ;3000;1
33;B9125UCC;LOGISTIK;OWN;OWN;CDD BOX;OSLOG;CML CIBITUNG;JAKARTA;AMBIL;5 TON;5 ;5000;1
34;B9126UCC;LOGISTIK;OWN;OWN;CDD BOX;OSLOG;CML CIBITUNG;JAKARTA;AMBIL;5 TON;5 ;5000;1
35;B9145GJ;LOGISTIK;OWN;OWN;CDE BOX;OSLOG;CML CIBITUNG;JAKARTA;AMBIL;3 TON;3 ;3000;1
36;B9150FXS;RENTAL;OWN;OWN;CDD CHILLER;OSLOG;ABC KOGEN;JAKARTA;AMBIL;5 TON;5 ;5000;1
37;B9151FXS;RENTAL;OWN;OWN;CDE CHILLER;OSLOG;MARUNDA;JAKARTA;AMBIL;3 TON;3 ;3000;1
38;B9152FXS;RENTAL;OWN;OWN;CDD BOX;OSLOG;CML CIBITUNG;JAKARTA;AMBIL;5 TON;5 ;5000;1
39;B9154FXS;RENTAL;OWN;OWN;CDD BOX;OSLOG;CML CIBITUNG;JAKARTA;AMBIL;5 TON;5 ;5000;1
40;B9155FXS;RENTAL;OWN;OWN;CDE CHILLER;OSLOG;NL NAROGONG;JAKARTA;AMBIL;3 TON;3 ;3000;1
41;B9156FXS;RENTAL;OWN;OWN;CDE CHILLER;OSLOG;MARUNDA;MEDAN;AMBIL;3 TON;3 ;3000;1
42;B9157FXS;RENTAL;OWN;OWN;CDE CHILLER;OSLOG;MARUNDA;JAKARTA;AMBIL;3 TON;3 ;3000;1
43;B9158FXS;RENTAL;OWN;OWN;CDE CHILLER;OSLOG;MARUNDA;JAKARTA;AMBIL;3 TON;3 ;3000;1
44;B9159FXS;RENTAL;OWN;OWN;CDE CHILLER;OSLOG;MARUNDA;JAKARTA;AMBIL;3 TON;3 ;3000;1
