Material Code;Description;Gross Weight;Nett Weight;Category;
801524;Filma CO 6x2L Pch;11.54;10.86;Branded;
801522;Filma CO 6x5L Jrc;18.07;18.1;Branded;
801521;Filma CO SNI 12x1L BTL;11.49;10.86;Branded;
801523;Filma CO SNI 6x2L Btl;10.84;10.86;Branded;
801175;Filma Cooking Oil ( 0716 ) 12X1L Pch;11.54;10.86;Branded;
801174;Filma Cooking Oil ( 0716 ) 6X2L Pch;11.54;10.86;Branded;
801184;Filma Cooking Oil (0816) 12X1L Btl;11.64;10.86;Branded;
801185;Filma Cooking Oil (0816) 6X2L Btl;11.71;10.86;Branded;
801204;Filma Cooking Oil (0916) 4X5L Jrc;19.42;18.1;Branded;
800740;Filma Cooking Oil 4x5L Jrc;18.07;18.1;Branded;
801434;Filma Cooking Oil 4x5L Jrc;18.07;18.1;Branded;
800739;Filma Cooking Oil 6x2L Btl;10.84;10.86;Branded;
801381;Filma Cooking Oil SNI 6x2L Pch;11.54;10.86;Branded;
801435;Filma Cooking Oil Vit 12x1L BTL;11.49;10.86;Branded;
801437;Filma Cooking Oil Vit 12x1L Pch;11.49;10.86;Branded;
801436;Filma Cooking Oil Vit 6x2L BTL;10.84;10.86;Branded;
801438;Filma Cooking Oil Vit 6x2L Pch;11.54;10.86;Branded;
810694;Filma Margarine Tf 60X200G Sch;13.11;12;Branded;
810917;Filma MGRN TF Salted (0420) 60X200G SCH;13.11;12;Branded;
810921;Filma MGRN TF Salted (0520)24X250G TUB;7.11;6;Branded;
810894;Filma MGRN TF Salted (0819) 60X200G SCH;13.11;12;Branded;
810896;Filma MGRN TF Salted (0819)24X250G TUB;7.11;6;Branded;
810699;Filma Mgrn Tf Salted 24X250G Tub;7.11;6;Branded;
801192;Filma Signature Cooking Oil 12X1L Btl;11.64;10.86;Branded;
801193;Filma Signature Cooking Oil 12X1L Pch;11.54;10.86;Branded;
801190;Filma Signature Cooking Oil 6X2L Btl;11.71;10.86;Branded;
801191;Filma Signature Cooking Oil 6X2L Pch;11.54;10.86;Branded;
801135;Kunci Mas Co 12X900Ml Pch;10.42;9.774;Branded;
801137;Kunci Mas Co 48X200Ml Pch;9.72;8.688;Branded;
801136;Kunci Mas Co 6X1.8Ml Pch;10.43;9.774;Branded;
801502;Kunci Mas CO SNI (0520) 24x450 ml PCH;10.74;9.774;Branded;
801501;Kunci Mas CO SNI (0520) 48x200mL PCH;9.72;8.688;Branded;
801490;Kunci Mas CO SNI (0520) 6x1.9L BTL;11.18;10.317;Branded;
801500;Kunci Mas CO SNI (0520)12x900Ml Pch;10.42;9.774;Branded;
801389;Kunci Mas CO SNI 24x200 ml PCH;9.72;8.688;Branded;
801406;Kunci Mas CO SNI 24x450 ml PCH;10.74;9.774;Branded;
801402;Kunci Mas CO SNI 6 x 1.8 L PCH;10.43;9.774;Branded;
800749;Kunci Mas Cooking Oil 12X950Ml Btl;11.12;10.317;Branded;
800751;Kunci Mas Cooking Oil 12X950Ml Btl;11.18;10.317;Branded;
801138;Kunci Mas Cooking Oil 24X450 Mlp;10.74;9.774;Branded;
800748;Kunci Mas Cooking Oil 24X485Ml Btl;10.52;10.5342;Branded;
800754;Kunci Mas Cooking Oil 4X5L Jrc;19.41;18.1;Branded;
801379;Kunci Mas Cooking Oil 6x1.9L Btl;11.18;10.317;Branded;
800757;Kunci Mas Cooking Oil 6x2L Pch;11.56;10.86;Branded;
801494;Kunci Mas Cooking Oil SNI (0520) 24x485Ml Btl;10.52;10.5342;Branded;
801505;Kunci Mas Cooking Oil SNI (0520)6x2L PCH;11.56;10.86;Branded;
801382;Kunci Mas Cooking Oil SNI 12x950Ml Btl;11.12;10.317;Branded;
801378;Kunci Mas Cooking Oil SNI 4x5L Jrc;19.41;18.1;Branded;
801491;Kunci Mas Cooking Oil SNI 4x5L Jrc;19.41;18.1;Branded;
801391;Kunci Mas Cooking Oil SNI 6x2L PCH;11.56;10.86;Branded;
801393;Masku CO 12x900 Ml Btl;10.58;9.774;Branded;
801499;Masku CO SNI (0520) 12x900ML BTL;11.12;10.317;Branded;
800839;Masku Cooking Oil 12X1L Pch;11.58;10.86;Branded;
800720;Masku Cooking Oil 12X900Ml Btl;11.12;10.317;Branded;
800721;Masku Cooking Oil 24X485Ml Btl;11.49;10.5342;Branded;
800602;Masku Cooking Oil 4X5L Jrc;19.4;18.1;Branded;
800772;Masku Cooking Oil 6X2L Jrc;11.56;10.86;Branded;
800817;Masku Cooking Oil 6X2L Pch;11.56;10.86;Branded;
801493;Masku Cooking Oil SNI (0520) 4x5L Jrc;19.4;18.1;Branded;
801504;Masku Cooking Oil SNI (0520) 6x2L Pch;11.56;10.86;Branded;
801384;Masku Cooking Oil SNI 12x1L Pch;11.58;10.86;Branded;
801503;Masku Cooking Oil SNI 12x1L Pch;11.58;10.86;Branded;
801395;Masku Cooking Oil SNI 24x485Ml Btl;11.49;10.5342;Branded;
801498;Mitra CO (0520) 6X2 L Pch;11.54;10.86;Branded;
800987;Mitra Co 6X2 L Pch;11.54;10.86;Branded;
800048;Mitra Cooking Oil 12X1L Pch;11.53;10.86;Branded;
800052;Mitra Cooking Oil 4X5L Jrc;19.38;18.1;Branded;
801496;Mitra Cooking Oil SNI (0520) 12x1L Pch;11.53;10.86;Branded;
801492;Mitra Cooking Oil SNI (0520) 4x5L Jrc;19.38;18.1;Branded;
810022;Palmboom Margarine Tf 24X250G Tub;7.13;6;Branded;
810024;Palmboom Margarine Tf 24X500G Tub;13.75;12;Branded;
