"TMS ID","Shipment Reference Number","Carrier Name","Charge Code Group","Charge Rate","Rate Basis","Rate","Closed Date","AP Vendor Code","Load Group","Order Groups","Shipper Load Number","First Pick Due Date","First Pick Name","Last Drop City","Last Drop Name","Load Status","Mode","Number of Stops","Pieces","Rate Change Carrier Comment","Rate Change Request Date","Trailer Description","Weight (kg)","Charge Description","Charge Code Category","Carrier Reference","Location Name","Payable Currency","Rate Change Approval Date"
57502590,"9072006323","BAHANA PRESTASI","OTHER CHARGES","150,000.00","FLAT","150,000.00","10/08/2021 15:53","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","57502590","02/08/2021 08:00","WGNKARANGPILANG","KALIDERES","WGNKALIDERES","Completed","TL",2,15000,"BIAYA BONGKAR WGN JAKARTA","05/08/2021 10:33","TRONTON_WB","15,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","10/08/2021 20:44"
57527402,"202107310130","BAHANA PRESTASI","OTHER CHARGES","422,000.00","FLAT","422,000.00","10/08/2021 11:32","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","57527402","03/08/2021 07:00","KFISAYUNG(1P)","CIHIDEUNG","KFICIHIDEUNG","Completed","TL",2,20000," ","04/08/2021 21:50","TRONTON_WB","20,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","10/08/2021 20:44"
57552258,"3000843384","BAHANA PRESTASI","OTHER CHARGES","629,000.00","FLAT","629,000.00","12/08/2021 17:19","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","57552258","06/08/2021 18:00","AJIJETIS","TALUN","AJITALUN CIREBON","Completed","TL",2,1000," ","09/08/2021 11:16","TRONTON_WB","1,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","13/08/2021 10:16"
57562142,"40487448","BAHANA PRESTASI","OTHER CHARGES","100,000.00","FLAT","100,000.00","16/08/2021 13:46","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","57562142","09/08/2021 08:00","SMRRUNGKUT","ASEMROWO","SMRASEMROWO","Completed","TL",2,750,"BIAYA BONGKAR PSI SURABAYA WB 100RB / FUSO 80RB","09/08/2021 16:50","TRONTON_WB","22,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","16/08/2021 15:04"
57573521,"40489678-01","BAHANA PRESTASI","OTHER CHARGES","100,000.00","FLAT","100,000.00","16/08/2021 16:45","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","57573521","10/08/2021 19:00","SMRRUNGKUT","PENJARINGAN","SMRPENJARINGAN","Completed","TL",2,1000," ","12/08/2021 11:14","TRONTON_WB","1,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","16/08/2021 17:00"
57573521,"40489678-01","BAHANA PRESTASI","OTHER CHARGES","500,000.00","FLAT","500,000.00","16/08/2021 16:45","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","57573521","10/08/2021 19:00","SMRRUNGKUT","PENJARINGAN","SMRPENJARINGAN","Completed","TL",2,1000," ","12/08/2021 11:14","TRONTON_WB","1,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","16/08/2021 17:00"
57574391,"3000843649","BAHANA PRESTASI","OTHER CHARGES","300,000.00","FLAT","300,000.00","18/08/2021 15:10","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","57574391","10/08/2021 17:00","AJIJETIS","SEWON","AJISEWON","Completed","TL",2,1000," ","10/08/2021 18:48","TRONTON_WB","1,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","18/08/2021 15:13"
57614466,"S21081304635","BAHANA PRESTASI","OTHER CHARGES","392,000.00","FLAT","392,000.00","19/08/2021 14:43","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","57614466","13/08/2021 20:00","TIVPANDAAN","SINGOSARI","TIVSINGOSARI","Completed","TL",2,980," ","13/08/2021 21:01","TRONTON_WB","980.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","20/08/2021 08:44"
57615718,"S21081400217","BAHANA PRESTASI","OTHER CHARGES","392,000.00","FLAT","392,000.00","19/08/2021 14:05","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","57615718","14/08/2021 20:00","TIVPANDAAN","SINGOSARI","TIVSINGOSARI","Completed","TL",2,980," ","14/08/2021 15:25","TRONTON_WB","980.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","20/08/2021 08:44"
58238297,"8872009634","BAHANA PRESTASI","OTHER CHARGES","150,000.00","FLAT","150,000.00","10/11/2021 12:37","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","58238297","27/10/2021 07:00","WGNKARANGPILANG","KALIDERES","WGNKALIDERES","Completed","TL",2,1600," ","04/11/2021 10:44","TRONTON_WB","20,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","11/11/2021 08:32"
