ROW;COMPANY REFERENCE;LOCATION;ADDRESS 1;ADDRESS 2;ADDRESS 3;LATITUDE;LONGITUDE;POSTAL CODE;REVISION
399;MYRKETAPANG;MYRKETAPANG;KETAPANG;KETAPANG;KETAPANG;-1,859,098;109,971,901;40355;78821
415;SAMTANJUNG BARU;SAMTANJUNG BARU;TANJUNG BARU;CIKARANG TIMUR;BEKASI;0;0;17533;17530
448;BCAMANGGA BESAR;BCAMANGGA BESAR;MANGGA BESAR;TAMAN SARI;JAKARTA BARAT;0;0;11430;11180
480;HOLPADUREANAN;HOLPADUREANAN;PADUREANAN;PADUREANAN;PADUREANAN;0;0;16270;16340
503;RBFLIPPO CIKARANG;RBFLIPPO CIKARANG;LIPPO CIKARANG;CIKARANG SELATAN;BEKASI;0;0;17532;17530
507;SDNLEMBANG;SDNLEMBANG;LEMBANG;LEMBANG;LEMBANG;-6,807,465;10,760,553;40791;40391
518;DANTELUK JAMBE;DANTELUK JAMBE;TELUK JAMBE;TELUK JAMBE;TELUK JAMBE;0;0;41360;41361
552;EXIPADALARANG_CML;EXIPADALARANG_CML;PADALARANG;PADALARANG;BANDUNG;-6,843,646;107,478,382;40714;40553
585;BCABABAKAN BOGOR;BCABABAKAN BOGOR;BABAKAN BOGOR;BABAKAN BOGOR;BOGOR;0;0;39376;39372
593;DANPASIRSARI;DANPASIRSARI;PASIRSARI;PASIRSARI;PASIRSARI;0;0;17532;17530
600;LTLKARAWANG TIMUR;LTLKARAWANG TIMUR;KARAWANG TIMUR;KARAWANG TIMUR;KARAWANG;-63,054;107,320,233;41322;41371
618;SDNPADALARANG;SDNPADALARANG;PADALARANG;PADALARANG;PADALARANG;-6,843,646;107,478,382;40716;40553
644;BCAJATI PULO;BCAJATI PULO;JATI PULO;PALMERAH;JAKARTA BARAT;-6,178,344;106,804,564;11430;11180
684;AMACICAU;AMACICAU;CICAU;CICAU;CICAU;-6,316,318;107,131,467;17550;17530
736;LTLCILEUNGSI;LTLCILEUNGSI;CILEUNGSI;CILEUNGSI;BOGOR;-6,402,272;106,970,494;16826;16820
742;DANBUNISARI;DANBUNISARI;BUNISARI;BUNISARI;BUNISARI;0;0;43260;43261
744;SDNKABUPATEN BANDUNG SELATAN;SDNKABUPATEN BANDUNG SELATAN;KABUPATEN BANDUNG SELATAN;KABUPATEN BANDUNG SELATAN;KABUPATEN BANDUNG SELATAN;0;0;40352;40226
795;MYRPANDEGLANG;MYRPANDEGLANG;PANDEGLANG;PANDEGLANG;PANDEGLANG;-6,327,061;10,611,693;42231;42211
841;LTLCITEUREUP;LTLCITEUREUP;CITEUREUP;CITEUREUP;BOGOR;-6,485,174;106,872,681;16813;16810
861;LTLTAMBUN;LTLTAMBUN;TAMBUN;TAMBUN SELATAN;BEKASI;-6,268,253;107,075,647;17511;17510
863;LTLTELUK JAMBE TIMUR;LTLTELUK JAMBE TIMUR;TELUK JAMBE TIMUR;TELUK JAMBE TIMUR;KARAWANG;-6,334,138;107,293,207;41334;41361
873;MULRAJAWALI;MULRAJAWALI;RAJAWALI;RAJAWALI;RAJAWALI;0;0;11222;11220
913;MYRDEPOK;MYRDEPOK;DEPOK;DEPOK;DEPOK;-6,402,484;106,794,241;16472;16433
917;SAMBENCONGAN;SAMBENCONGAN;BENCONGAN;BENCONGAN;TANGERANG;-6,232,494;106,592,438;15811;15810
960;MYRCIANJUR;MYRCIANJUR;CIANJUR;CIANJUR;CIANJUR;-6,816,824;107,142,544;43260;43261
980;AMASUKABAKTI;AMASUKABAKTI;SUKABAKTI;SUKABAKTI;SUKABAKTI;-6,232,494;106,592,438;15811;15810
996;AMACIKARANG PUSAT;AMACIKARANG PUSAT;CIKARANG PUSAT;CIKARANG PUSAT;CIKARANG;-6,316,318;107,131,467;17550;17530
999;AMAMANGGA BESAR;AMAMANGGA BESAR;MANGGA BESAR;MANGGA BESAR;JAKARTA BARAT;0;0;11430;11180
1006;BCAPAKULONAN BARAT;BCAPAKULONAN BARAT;PAKULONAN BARAT;KELAPA DUA;TANGERANG;-6,232,494;106,592,438;15811;15810
1034;BCACISALAK;BCACISALAK;CISALAK;CISALAK;DEPOK;-635,976;106,868,555;16952;16416
1040;BCASUKADAMI;BCASUKADAMI;SUKADAMI;CIKARANG SELATAN;BEKASI;0;0;17532;17530
1094;BCABABAKAN MADANG;BCABABAKAN MADANG;BABAKAN MADANG;BABAKAN MADANG;BOGOR;0;0;39376;39372
