"TMS ID","Carrier Name","Charge Rate","Rate Basis","Rate","Closed Date","Load Group","Charge Description","Carrier Reference","Rate Change Approval Date","Shipment Reference Number","Rate Change Request Date"
58464749,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","01/12/2021 10:23","SURABAYA LOG BULK","TMB_BONGKAR","0027","01/12/2021 21:47","0082496566","24/11/2021 08:40"
58491543,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","06/12/2021 13:39","SURABAYA LOG PACK","TMB_BONGKAR","0027","06/12/2021 15:47","41020046","02/12/2021 17:03"
58491543,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","06/12/2021 13:39","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","06/12/2021 15:47","41020046","02/12/2021 17:03"
58491543,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","06/12/2021 13:39","SURABAYA LOG PACK","TMB_BONGKAR","0027","06/12/2021 15:47","41020046","02/12/2021 17:03"
58495494,"BAHANA PRESTASI","140,000.00","FLAT","140,000.00","01/12/2021 10:23","SURABAYA LOG BULK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","01/12/2021 21:47","0082499118","26/11/2021 15:54"
58495494,"BAHANA PRESTASI","140,000.00","FLAT","140,000.00","01/12/2021 10:23","SURABAYA LOG BULK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","01/12/2021 21:47","0082499118","26/11/2021 15:54"
58495494,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","01/12/2021 10:23","SURABAYA LOG BULK","TMB_BONGKAR","0027","01/12/2021 21:47","0082499118","26/11/2021 15:54"
58507192,"BAHANA PRESTASI","210,000.00","FLAT","210,000.00","02/12/2021 08:53","SURABAYA LOG BULK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","02/12/2021 14:55","0082498894","29/11/2021 15:05"
58507192,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","02/12/2021 08:53","SURABAYA LOG BULK","TMB_BONGKAR","0027","02/12/2021 14:55","0082498894","29/11/2021 15:05"
58531993,"BAHANA PRESTASI","140,000.00","FLAT","140,000.00","06/12/2021 09:41","SURABAYA LOG BULK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","06/12/2021 12:42","0082505674","02/12/2021 09:29"
58531993,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","06/12/2021 09:41","SURABAYA LOG BULK","TMB_BONGKAR","0027","06/12/2021 12:42","0082505674","02/12/2021 09:29"
58532244,"BAHANA PRESTASI","140,000.00","FLAT","140,000.00","06/12/2021 09:41","SURABAYA LOG BULK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","06/12/2021 12:42","0082505612","02/12/2021 09:30"
58532244,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","06/12/2021 09:41","SURABAYA LOG BULK","TMB_BONGKAR","0027","06/12/2021 12:42","0082505612","02/12/2021 09:30"
58533221,"BAHANA PRESTASI","19,950.00","FLAT","19,950.00","08/12/2021 16:35","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","08/12/2021 17:30","S21113000107,S21113000105,S21113000106","30/11/2021 23:56"
58534074,"BAHANA PRESTASI","600,000.00","FLAT","600,000.00","09/12/2021 14:40","SURABAYA LOG PACK","TMB_BONGKAR","0027","09/12/2021 15:19","40529702","01/12/2021 00:29"
58534074,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","09/12/2021 14:40","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","09/12/2021 15:19","40529702","01/12/2021 00:29"
58539729,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","08/12/2021 14:07","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","08/12/2021 16:09","41039685","01/12/2021 00:13"
58539729,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","08/12/2021 14:07","SURABAYA LOG PACK","TMB_BONGKAR","0027","08/12/2021 16:09","41039685","01/12/2021 00:13"
58539729,"BAHANA PRESTASI","0.00","FLAT","0.00","08/12/2021 14:07","SURABAYA LOG PACK","TMB_BONGKAR","0027","08/12/2021 16:09","41039685","01/12/2021 00:13"
