"Customer Reference Number","Customer Name","Load ID","Load Group","Load Created Date","Order Number","Billable Total Rate","Load Closed Date","Load Status","Payable Total Rate","Delivery Location City"
"3000007550","PT. NIRWANA LESTARI","58807630","SURABAYA RENTAL TRIP","02/01/2022 13:39","1000367649","131,000.00","03/01/2022 11:08","Completed","73,500.00","TENGGILIS MEJOYO"
"3000007550","PT. NIRWANA LESTARI","58807631","SURABAYA RENTAL TRIP","02/01/2022 13:40","1000367770","301,500.00","03/01/2022 11:08","Completed","234,000.00","SUKUN"
"3000007677","SCIENTEX INDONESIA","58809100","SURABAYA LOG PACK","03/01/2022 09:08","DO-2022-0008","1.00","03/01/2022 15:55","Completed","190,029.50","KRIAN"
"3000007677","SCIENTEX INDONESIA","58809100","SURABAYA LOG PACK","03/01/2022 09:08","DO-2022-0009","1,250,000.00","03/01/2022 15:55","Completed","49,470.50","KRIAN"
"3000007677","SCIENTEX INDONESIA","58809413","SURABAYA LOG PACK","03/01/2022 09:11","DO-2022-0006","1,770,000.00","03/01/2022 15:50","Completed","385,500.00","SINGOSARI"
"3000007677","SCIENTEX INDONESIA","58809461","SURABAYA LOG PACK","03/01/2022 09:11","DO-2022-0007","1,200,000.00","04/01/2022 08:37","Completed","408,500.00","GENDING"
"3000001618","ECCO TANNERY INDONESIA","58809344","SURABAYA LOG PACK","03/01/2022 09:10","01/I/LINC-ECCO/2022","2,000,000.00","04/01/2022 08:27","Completed","330,000.00","SIDOARJO"
"3000007677","SCIENTEX INDONESIA","58809529","SURABAYA LOG PACK","03/01/2022 09:13","DO-2022-0010","900,000.00","04/01/2022 09:02","Completed","239,500.00","WARU"
"3000007677","SCIENTEX INDONESIA","58809541","SURABAYA LOG PACK","03/01/2022 09:14","DO-2022-0011","830,000.00","04/01/2022 09:04","Completed","223,500.00","SIDOARJO"
"8000000010","PT. LAUTAN LUAS TBK","58809545","SURABAYA LOG PACK","03/01/2022 09:15","2100418495","695,000.00","04/01/2022 08:18","Completed","282,500.00","NGORO"
"8000000010","PT. LAUTAN LUAS TBK","58809547","SURABAYA RENTAL TRIP","03/01/2022 09:15","2100418487","386,000.00","03/01/2022 15:59","Completed","435,000.00","JETIS"
"8000000010","PT. LAUTAN LUAS TBK","58809549","SURABAYA RENTAL TRIP","03/01/2022 09:15","2100418497","550,000.00","04/01/2022 08:34","Completed","435,000.00","JETIS"
"3000005193","PT SINAR MAS AGRO RESOURCES AND","58809774","SURABAYA EXIM TRUCKING","03/01/2022 09:33","SESB21120022_1","1,115,000.00","05/01/2022 10:04","Completed","1,000,000.00","PABEAN CANTIAN"
"3000019518","PT. GCM MARKETING SOLUTIONS INDONESIA","58809601","SURABAYA EXIM TRUCKING","03/01/2022 09:18","SISB21120051_1","1,300,000.00","13/01/2022 14:19","Completed","1,000,000.00","WARU"
"3000020764","PT. PERTAMINA PETROCHEMICAL TRADING","58809765","SURABAYA EXIM TRUCKING","03/01/2022 09:22","SISB21120072_1","1,270,500.00","17/01/2022 16:27","Completed","1,080,000.00","GRESIK"
"3000020764","PT. PERTAMINA PETROCHEMICAL TRADING","58809766","SURABAYA EXIM TRUCKING","03/01/2022 09:24","SISB21120072_2","1,270,500.00","17/01/2022 10:40","Completed","1,080,000.00","GRESIK"
"3000020764","PT. PERTAMINA PETROCHEMICAL TRADING","58809767","SURABAYA EXIM TRUCKING","03/01/2022 09:25","SISB21120072_3","1,270,500.00","12/01/2022 16:57","Completed","900,000.00","GRESIK"
"3000020764","PT. PERTAMINA PETROCHEMICAL TRADING","58809768","SURABAYA EXIM TRUCKING","03/01/2022 09:26","SISB21120072_4","1,270,500.00","12/01/2022 16:56","Completed","900,000.00","GRESIK"
"3000020764","PT. PERTAMINA PETROCHEMICAL TRADING","58809769","SURABAYA EXIM TRUCKING","03/01/2022 09:28","SISB21120072_5","1,270,500.00","12/01/2022 16:54","Completed","900,000.00","GRESIK"
"3000020764","PT. PERTAMINA PETROCHEMICAL TRADING","58809770","SURABAYA EXIM TRUCKING","03/01/2022 09:29","SISB21120072_6","1,270,500.00","17/01/2022 11:01","Completed","1,080,000.00","GRESIK"
"3000005193","PT SINAR MAS AGRO RESOURCES AND","58809775","SURABAYA EXIM TRUCKING","03/01/2022 09:35","SESB21120021_1","1,115,000.00","05/01/2022 10:06","Completed","1,000,000.00","PABEAN CANTIAN"
"3000005193","PT SINAR MAS AGRO RESOURCES AND","58809776","SURABAYA EXIM TRUCKING","03/01/2022 09:36","SESB21120021_2","1,115,000.00","05/01/2022 10:07","Completed","1,000,000.00","PABEAN CANTIAN"
"3000005193","PT SINAR MAS AGRO RESOURCES AND","58809778","SURABAYA EXIM TRUCKING","03/01/2022 09:37","SESB21120021_3","1,115,000.00","04/01/2022 14:08","Completed","1,000,000.00","PABEAN CANTIAN"
"3000005193","PT SINAR MAS AGRO RESOURCES AND","58809779","SURABAYA EXIM TRUCKING","03/01/2022 09:38","SESB21120021_4","1,115,000.00","04/01/2022 14:12","Completed","1,000,000.00","PABEAN CANTIAN"
