"TMS ID","Carrier Name","Charge Rate","Rate Basis","Rate","Closed Date","Load Group","Charge Description","Carrier Reference","Rate Change Approval Date","Shipment Reference Number","Rate Change Request Date"
58788634,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","11/01/2022 13:44","SURABAYA LOG PACK","TMB_MULTIDROP","0027","09/01/2022 21:32","GD3221689186/0080140590","04/01/2022 15:54"
58788891,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","11/01/2022 13:42","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","09/01/2022 21:32","GD3221691313/00080140679","08/01/2022 15:09"
58788891,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","11/01/2022 13:42","SURABAYA LOG PACK","TMB_MULTIDROP","0027","06/01/2022 16:43","GD3221691313/00080140679","03/01/2022 13:25"
58797049,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","03/01/2022 15:37","SURABAYA LOG PACK","TMB_BONGKAR","0027","04/01/2022 08:41","2100418431","30/12/2021 16:33"
58799186,"BAHANA PRESTASI","166,400.00","FLAT","166,400.00","03/01/2022 10:36","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","03/01/2022 13:04","S21123001083","31/12/2021 10:39"
58807631,"BAHANA PRESTASI","31,500.00","FLAT","31,500.00","03/01/2022 11:08","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","03/01/2022 13:04","1000367770","02/01/2022 13:51"
58809787,"BAHANA PRESTASI","70,000.00","FLAT","70,000.00","10/01/2022 09:15","SURABAYA LOG BULK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","0082541795","04/01/2022 10:58"
58809787,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","10/01/2022 09:15","SURABAYA LOG BULK","TMB_BONGKAR","0027","11/01/2022 07:54","0082541795","04/01/2022 10:58"
58809788,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","07/01/2022 08:55","SURABAYA LOG BULK","TMB_BONGKAR","0027","09/01/2022 21:32","0082541570","04/01/2022 10:59"
58809788,"BAHANA PRESTASI","70,000.00","FLAT","70,000.00","07/01/2022 08:55","SURABAYA LOG BULK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","09/01/2022 21:32","0082541570","04/01/2022 10:59"
58809789,"BAHANA PRESTASI","50,000.00","FLAT","50,000.00","06/01/2022 16:12","SURABAYA LOG PACK","TMB_BONGKAR","0027","06/01/2022 16:43","40535722","03/01/2022 13:50"
58809802,"BAHANA PRESTASI","0.00","FLAT","0.00","10/01/2022 16:13","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","12/01/2022 15:56","40536286","12/01/2022 15:04"
58809802,"BAHANA PRESTASI","900,000.00","FLAT","900,000.00","10/01/2022 16:13","SURABAYA LOG PACK","TMB_BONGKAR","0027","13/01/2022 21:51","40536286","13/01/2022 14:14"
58810221,"BAHANA PRESTASI","50,000.00","FLAT","50,000.00","10/01/2022 16:26","SURABAYA LOG PACK","TMB_BONGKAR","0027","11/01/2022 07:54","40541237","03/01/2022 14:10"
58817826,"BAHANA PRESTASI","0.00","FLAT","0.00","10/01/2022 09:15","SURABAYA LOG BULK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","0082544379","05/01/2022 09:52"
58817826,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","10/01/2022 09:15","SURABAYA LOG BULK","TMB_BONGKAR","0027","11/01/2022 07:54","0082544379","05/01/2022 09:52"
58817827,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","07/01/2022 08:55","SURABAYA LOG BULK","TMB_BONGKAR","0027","09/01/2022 21:33","0082542874","05/01/2022 09:53"
58817834,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","10/01/2022 16:29","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","40541358","04/01/2022 16:31"
58817836,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","06/01/2022 15:30","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","06/01/2022 15:35","40540754","04/01/2022 16:28"
58817848,"BAHANA PRESTASI","150,000.00","FLAT","150,000.00","07/01/2022 16:12","SURABAYA LOG PACK","TMB_BONGKAR","0027","09/01/2022 21:33","40542096","05/01/2022 12:28"
58817848,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","07/01/2022 16:12","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","09/01/2022 21:33","40542096","05/01/2022 12:28"
