Billing Summary ID;Invoice Number;Order Type;Ap No;arNo;Billing From Date;Trace ID;Pallet Type;Tariff ID;Warehouse ID;Customer ID;Bill TO;Paid TO;SKU;LOTNUM;Location Category;Charge Category;Charge Type;Descr;Rate Base;Charge Per Units;QTY;UOM;Cubic;Weight;Charge Rate;Billing Amount;Amount;Cost;Amount Payable;Amount Paid;DOC Type;DOCNO;Kit Sku;DOC Reference1;Material Code;Item Category;Division Code;Notes;Confirm Who;Confirm Time;Settle Who;Settle Time;Follow Up
INV006319*01;;CG;*;*;2022-08-02;220802162;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006318*01;;CG;*;*;2022-08-02;220802151;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006317*01;;CG;*;*;2022-08-02;220802150;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006316*01;;CG;*;*;2022-08-02;220802149;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006315*01;;CG;*;*;2022-08-02;220802148;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006314*01;;CG;*;*;2022-08-02;220802147;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006313*01;;CG;*;*;2022-08-02;220802146;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006312*01;;CG;*;*;2022-08-02;220802145;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006311*01;;CG;*;*;2022-08-02;220802144;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006310*01;;CG;*;*;2022-08-02;220802143;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006309*01;;CG;*;*;2022-08-02;220802141;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006308*01;;CG;*;*;2022-08-02;220802140;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006307*01;;CG;*;*;2022-08-02;220802138;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006306*01;;CG;*;*;2022-08-02;220802137;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006305*01;;CG;*;*;2022-08-02;220802136;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006304*01;;CG;*;*;2022-08-02;220802135;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006303*01;;CG;*;*;2022-08-02;220802134;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006302*01;;CG;*;*;2022-08-02;220802133;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006301*01;;CG;*;*;2022-08-02;220802132;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006300*01;;CG;*;*;2022-08-02;220802131;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006299*01;;CG;*;*;2022-08-02;220802129;Rental Pallet;BIL00189;SBYKK;GMCSBY;GMCSBY;;GMC00001;0385760;;Handling In;Handling In Charges;Handling In Charges;Pieces;1;1000;EA;0;25500;39;39000;39000;0;0;0;ASN;ASNGMC220802001;;I/B22-196/1(2);1700000045;X;62;;;;;;
INV006298*02;;CG;*;*;2022-08-02;220802101;Own Pallet;BIL00187;SBYKK;ECCOSBY;ECCOSBY;;R95082137;0385376;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;540;EA;0;0;34500;34500;34500;0;0;0;ASN;ASNECC220802001;;4200024793;1700000045;X;62;;;;;;
INV006298*01;;CG;*;*;2022-08-02;220802101;Own Pallet;BIL00187;SBYKK;ECCOSBY;ECCOSBY;;R95082137;0385376;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;540;EA;0;0;33100;33100;33100;0;0;0;ASN;ASNECC220802001;;4200024793;1700000045;X;62;;;;;;
INV006297*02;;CG;*;*;2022-08-02;220802100;Own Pallet;BIL00187;SBYKK;ECCOSBY;ECCOSBY;;R95082137;0385376;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;540;EA;0;0;34500;34500;34500;0;0;0;ASN;ASNECC220802001;;4200024793;1700000045;X;62;;;;;;
INV006297*01;;CG;*;*;2022-08-02;220802100;Own Pallet;BIL00187;SBYKK;ECCOSBY;ECCOSBY;;R95082137;0385376;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;540;EA;0;0;33100;33100;33100;0;0;0;ASN;ASNECC220802001;;4200024793;1700000045;X;62;;;;;;
INV006296*02;;CG;*;*;2022-08-02;220802099;Own Pallet;BIL00187;SBYKK;ECCOSBY;ECCOSBY;;R95082137;0385380;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;540;EA;0;0;34500;34500;34500;0;0;0;ASN;ASNECC220802001;;4200024793;1700000045;X;62;;;;;;
INV006296*01;;CG;*;*;2022-08-02;220802099;Own Pallet;BIL00187;SBYKK;ECCOSBY;ECCOSBY;;R95082137;0385380;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;540;EA;0;0;33100;33100;33100;0;0;0;ASN;ASNECC220802001;;4200024793;1700000045;X;62;;;;;;
INV006295*02;;CG;*;*;2022-08-02;220802098;Own Pallet;BIL00187;SBYKK;ECCOSBY;ECCOSBY;;R95082137;0385380;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;540;EA;0;0;34500;34500;34500;0;0;0;ASN;ASNECC220802001;;4200024793;1700000045;X;62;;;;;;
INV006295*01;;CG;*;*;2022-08-02;220802098;Own Pallet;BIL00187;SBYKK;ECCOSBY;ECCOSBY;;R95082137;0385380;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;540;EA;0;0;33100;33100;33100;0;0;0;ASN;ASNECC220802001;;4200024793;1700000045;X;62;;;;;;
INV006294*02;;CG;*;*;2022-08-02;220802097;Own Pallet;BIL00187;SBYKK;ECCOSBY;ECCOSBY;;R95082137;0385380;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;540;EA;0;0;34500;34500;34500;0;0;0;ASN;ASNECC220802001;;4200024793;1700000045;X;62;;;;;;
INV006294*01;;CG;*;*;2022-08-02;220802097;Own Pallet;BIL00187;SBYKK;ECCOSBY;ECCOSBY;;R95082137;0385380;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;540;EA;0;0;33100;33100;33100;0;0;0;ASN;ASNECC220802001;;4200024793;1700000045;X;62;;;;;;
INV006293*02;;CG;*;*;2022-08-02;220802095;Own Pallet;BIL00187;SBYKK;ECCOSBY;ECCOSBY;;R95082137;0385380;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;540;EA;0;0;34500;34500;34500;0;0;0;ASN;ASNECC220802001;;4200024793;1700000045;X;62;;;;;;
INV006293*01;;CG;*;*;2022-08-02;220802095;Own Pallet;BIL00187;SBYKK;ECCOSBY;ECCOSBY;;R95082137;0385380;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;540;EA;0;0;33100;33100;33100;0;0;0;ASN;ASNECC220802001;;4200024793;1700000045;X;62;;;;;;
INV006292*02;;CG;*;*;2022-08-02;220802093;Own Pallet;BIL00187;SBYKK;ECCOSBY;ECCOSBY;;R95082137;0385391;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;540;EA;0;0;34500;34500;34500;0;0;0;ASN;ASNECC220802001;;4200024793;1700000045;X;62;;;;;;
INV006292*01;;CG;*;*;2022-08-02;220802093;Own Pallet;BIL00187;SBYKK;ECCOSBY;ECCOSBY;;R95082137;0385391;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;540;EA;0;0;33100;33100;33100;0;0;0;ASN;ASNECC220802001;;4200024793;1700000045;X;62;;;;;;
INV006291*02;;CG;*;*;2022-08-02;220802092;Own Pallet;BIL00187;SBYKK;ECCOSBY;ECCOSBY;;R95082137;0385380;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;540;EA;0;0;34500;34500;34500;0;0;0;ASN;ASNECC220802001;;4200024793;1700000045;X;62;;;;;;
INV006291*01;;CG;*;*;2022-08-02;220802092;Own Pallet;BIL00187;SBYKK;ECCOSBY;ECCOSBY;;R95082137;0385380;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;540;EA;0;0;33100;33100;33100;0;0;0;ASN;ASNECC220802001;;4200024793;1700000045;X;62;;;;;;
INV006290*02;;CG;*;*;2022-08-02;220802089;Own Pallet;BIL00187;SBYKK;ECCOSBY;ECCOSBY;;R95082137;0385380;;Handling In;Handling In Charges;Handling In Charges;PALLET;1;540;EA;0;0;34500;34500;34500;0;0;0;ASN;ASNECC220802001;;4200024793;1700000045;X;62;;;;;;
