Billing Summary ID;Invoice Number;Order Type;Ap No;arNo;Billing From Date;Trace ID;Pallet Type;Tariff ID;Warehouse ID;Customer ID;Bill TO;Paid TO;SKU;LOTNUM;Location Category;Charge Category;Charge Type;Descr;Rate Base;Charge Per Units;QTY;UOM;Cubic;Weight;Charge Rate;Billing Amount;Amount;Cost;Amount Payable;Amount Paid;DOC Type;DOCNO;Kit Sku;DOC Reference1;Material Code;Item Category;Division Code;Notes;Confirm Who;Confirm Time;Settle Who;Settle Time;Follow Up
INV000004;SS1000008;;*;0000000010;2022-06-15;;;BIL00117;SMARTSBY01;SMARTSBY;;;;;;Fix Charge;Storage;Excess Storage;Monthly Rate;1;1;PL;;;175000000;175000000;175000000;;0;;;;;;;;;;;;;;
SP03241;SS1000008;;*;0000000010;2022-06-15;;;BIL00117;SMARTSBY01;SMARTSBY;SMARTSBY;;;;;Fix Charge;Storage;Storage;Monthly Rate;;;;;;690000000;690000000;690000000;0;;;;;;;1700000037;X;62;;;;;;
SP02669;SS1000007;;*;0000000009;2022-05-15;;;BIL00117;SMARTSBY01;SMARTSBY;SMARTSBY;;;;;Fix Charge;Storage;Storage;Monthly Rate;;;;;;690000000;690000000;690000000;0;;;;;;;1700000037;X;62;;;;;;
SP02300;SS1000006;;*;0000000008;2022-04-15;;;BIL00117;SMARTSBY01;SMARTSBY;SMARTSBY;;;;;Fix Charge;Storage;Storage;Monthly Rate;;;;;;690000000;690000000;690000000;0;;;;;;;1700000037;X;62;;;;;;
SP01698;SS1000005;;*;0000000007;2022-03-15;;;BIL00117;SMARTSBY01;SMARTSBY;SMARTSBY;;;;;Fix Charge;Storage;Storage;Monthly Rate;;;;;;690000000;690000000;690000000;0;;;;;;;1700000037;X;62;;;;;;
SP01301;SS1000004;;*;0000000006;2022-02-15;;;BIL00117;SMARTSBY01;SMARTSBY;SMARTSBY;;;;;Fix Charge;Storage;Storage;Monthly Rate;;;;;;690000000;690000000;690000000;0;;;;;;;1700000037;X;62;;;;;;
SP00838;SS1000003;;*;0000000005;2022-01-15;;;BIL00117;SMARTSBY01;SMARTSBY;SMARTSBY;;;;;Fix Charge;Goods Moving Services;Fix Outbound Charges;Monthly Rate;;;;;;400000000;400000000;400000000;0;;;;;;;1700000046;X;62;;;;;;
SP00837;SS1000003;;*;0000000005;2022-01-15;;;BIL00117;SMARTSBY01;SMARTSBY;SMARTSBY;;;;;Fix Charge;Storage;Storage;Monthly Rate;;;;;;290000000;290000000;290000000;0;;;;;;;1700000037;X;62;;;;;;
SP00414;SS1000002;;*;0000000004;2021-12-15;;;BIL00117;SMARTSBY01;SMARTSBY;SMARTSBY;;;;;Fix Charge;Goods Moving Services;Fix Outbound Charges;Monthly Rate;;;;;;400000000;400000000;400000000;0;;;;;;;1700000046;X;62;;;;;;
SP00413;SS1000002;;*;0000000004;2021-12-15;;;BIL00117;SMARTSBY01;SMARTSBY;SMARTSBY;;;;;Fix Charge;Storage;Storage;Monthly Rate;;;;;;290000000;290000000;290000000;0;;;;;;;1700000037;X;62;;;;;;
SP00006;SS1000001;;*;0000000003;2021-11-15;;;BIL00117;SMARTSBY01;SMARTSBY;SMARTSBY;;;;;Fix Charge;Goods Moving Services;Fix Outbound Charges;Monthly Rate;;;;;;400000000;400000000;400000000;0;;;;;;;1700000046;X;62;;;;;;
SP00005;SS1000001;;*;0000000003;2021-11-15;;;BIL00117;SMARTSBY01;SMARTSBY;SMARTSBY;;;;;Fix Charge;Storage;Storage;Monthly Rate;;;;;;290000000;290000000;290000000;0;;;;;;;1700000037;X;62;;;;;;
