Customer Number;Country;Province;City;Customer Type;Customer Descr(L);Customer Descr(S);Customer internal code;Active Flag;Ref Owner;Ref Warehouse ID;Easy Code;Address1;Contact1;Contact1 TEL1;Contact1 TEL2;Default Pack ID;Default SKU LOT ID;Rotation ID;Default Soft Allocation Rule;Default Allocation Rule;Default Replenish Rule;Bill TO;Tariff ID;UDF01;UDF02;UDF03;UDF04;UDF05
DKJ-SBY;;;;Owner of the goods;DUNIA KIMIA JAYA;DKJ SBY;;Y;;;DUNIAKIMIAJAYA;;;;;STANDARD;LTLSBY;FIFO;STANDARD;STANDARD;;;;2;8000000010;SKU+BATCH+DATE;Ship;SKU+BATCH+DATE
DNNSBY;IN;;;Owner of the goods;TIRTA INVESTAMA;DNN;;Y;;;TIRTAINVESTAMA;;;;;STANDARD;SBYKK2;SBYKK;STANDARD;STANDARD;;;;2;8000000027;;No;
ECCOSBY;IN;;;Owner of the goods;ECCO SBY;ECCOSBY;;Y;;;ECCOSBY;;;;;STANDARD;SBYKKPLTM;SBYKK;STANDARD;STANDARD;;;;1;3000001618;;No;
GCMSBY;IN;;;Owner of the goods;GCMSBY;GCMSBY;;Y;;;GCMSBY;JL. RUNGKUT INDUSTRI 3 NO.25A;;;;STANDARD;SBYKKPLTM;SBYKK;PACK_EA;STANDARD;;;;1;3000019518;;;
GMCSBY;IN;;;Owner of the goods;PT. GRAND MULTI CHEMICALS (GMC);GMCSBY;;Y;;;PT.GRANDMULTICHEMICALS(GMC);JL. RUNGKUT INDUSTRI 3 NO.25A;;;;STANDARD;SBYKKPLTM;SBYKK;PACK_EA;STANDARD;;;;1;3000002046;;;
HPKSBY;IN;;;Owner of the goods;PT HASA PRIMA KIMIA;HPK;;Y;;;PTHASAPRIMAKIMIA;;;;;STANDARD;SBYKK;SBYKK;STANDARD;STANDARD;;;;1;3000020184;;No;
JCISBY;IN;;;Owner of the goods;PT. Scientex Indonesia;JCISBY;;Y;;;PT.SCIENTEXINDONESIA;;;;;STANDARD;SBYKK;SBYKK;PACK_EA;STANDARD;;;;1;3000002046;;;
LTL SBY;IN;;;Owner of the goods;LAUTAN LUAS TBK;LTL SBY;;Y;;;LAUTANLUASTBK;JL. NGEMPLAK NO. 30;;;;STANDARD;LTLSBY;LTLSBY;STANDARD;STANDARD;;;;2;8000000010;SKU+BATCH+DATE;Ship;SKU+BATCH+DATE
SMARTSBY;IN;;;Owner of the goods;SMART SBY;SMARTSBY;;Y;;;SMARTSBY;;;;;STANDARD;SMARTSBY;SMARTSBY;PACK_EA;STANDARD;;;;1;3000005193;;;
SSISBY;IN;;;Owner of the goods;Prima Mas Makmur;SSISBY;;Y;;;PRIMAMASMAKMUR;;;;;STANDARD;SBYKK;SBYKK;PACK_EA;STANDARD;;;;1;3000007728;;;
