SKU;SKU Descr(L)
800009;Filma Cooking  Oil (E) 1X20L Jrc
800048;Mitra Cooking Oil 12x1L Pch
800052;Mitra Cooking Oil 4x5L Jrc
800470;Mitra Cooking Oil (E) 1X20L Ylw Jrc
800602;Masku Cooking Oil 4x5L Jrc
800637;Obaapapa Cooking Oil 1X20L Jrc
800653;Bissoil Cooking Oil 6x2L Pch
800699;Mitra Cookng Oil (E) 24X485Ml Btl
800700;Mitra Cooking Oil (E) 12X950Ml Btl
800720;Masku Cooking Oil 12x900Ml Btl
800721;Masku Cooking Oil 24x485Ml Btl
800738;Filma Cooking Oil 12x1L Btl
800739;Filma Cooking Oil 6x2L Btl
800740;Filma Cooking Oil 4x5L Jrc
800742;Filma Cooking Oil 1x18L Jrc
800744;Filma Cooking Oil 12x1L Pch
800745;Filma Cooking Oil 6x2L Pch
800746;Filma Cooking Oil 1x18L Bib
800748;Kunci Mas Cooking Oil 24x485Ml Btl
800749;Kunci Mas Cooking Oil 12x950Ml Btl
800751;Kunci Mas Cooking Oil 6x1.9L Btl
800754;Kunci Mas Cooking Oil 4x5L Jrc
800756;Kunci Mas Cooking Oil 12x1L Pch
800757;Kunci Mas Cooking Oil 6x2L Pch
800758;Kunci Mas Cooking Oil 1x18L Bib
800774;Mitra Palm Oil Cooking Oil (E) 4X5L Jrc
800779;Mitra Palm Oil CO (E) 24X500Ml Btl
800792;Kunci Mas Cooking Oil (E) 24X485Ml Btl
800795;Kunci Mas Cooking Oil (E) 6X1.9L Btl
800796;Kunci Mas Cooking Oil (E) 4X5L Jrc
800804;Filma Cooking Oil Vit (E) 12X1L Btl
800805;Filma  Cooking  Oil VIT (E) 6X2L Btl
800806;Filma Cooking Oil Vit (E) 24X500Ml Btl
800809;Filma Cooking Oil Vit (E) 4X5L Jrc
800817;Masku Cooking Oil 6x2L Pch
800819;Evita Cooking Oil GBN 4X5L Jrc
800827;Mitra Palm Oil CO (E) CMB 12X1L Btl
800828;Mitra Palm Oil CO (E) CMB 6X2L Btl
800839;Masku Cooking Oil 12x1L Pch
800865;Marimar Cooking Oil 1X20L Jrc
800873;Olai Cooking Oil Vit 1X20L Jrc
800958;Evita Vegetable CO FRT 1X20L Jrc
800969;Super Delicieux Natural VO CO 1X20L Jrc
800984;Mitra PO CO (E) 48X250ml Btl SQR
800987;Mitra CO 6X2 L Pch
800990;Mitra LF-PO CO (E) 1x20 L Jrc
801011;Kunci Mas CO 1x20 L JRC
801015;Filma CO (E) VIT 48x250ML SQR BTL
801024;Evita CO 1x25L JRC
801025;Mitra CO (E) 1x25L JRC
801028;Sara CO VIT 48x250ML SQR BTL
801037;Reema Vegetable CO 1x20L JRC
801039;Mitra Vegetable CO (E) 1x18L JRC
801047;Mitra CO (E) FMI 1x20L JRC
801054;Super Delicieux Nat VO SC CO 1x20L JRC
801056;Olai Veg CO 1x25L JRC
801058;Sara Veg CO 1x25L JRC
801059;Marimar Veg CO 1x25L JRC
801074;Mitra CO (E) GLT 1x20L JRC
801076;Super Delicieux CO 1x25L JRC
801087;Filma CO 48x200mL PCH
801097;Mitra KMSC CO (E)SNG 1x20 L Jrc
801112;Mitra VO CO (E) ADL 24X500Ml Btl
801114;Mitra VO CO (E) ADL 12X1L Btl
801118;Mitra LF-PO CO KMCP (E) KND 1x18L JRC
801119;Mitra LF-PO CO (E) KND 48X250Ml Btl
801121;Mitra LF-PO CO (E) KND 24X500Ml Btl
801122;Mitra LF-PO CO (E) KND 12X1L Btl
801123;Mitra LF-PO CO (E) KND 6X2L Btl
801132;RBDCNO Toll for Customer 1x18Kg BIB
801135;Kunci Mas CO 12x900mL PCH
801136;Kunci Mas CO 6x1.8L PCH
801137;Kunci Mas CO 48x200mL PCH
801138;Kunci Mas CO 24x450mL PCH
801141;RBDCNO Toll for Customer 1x18Kg BIB (RED
801150;Mitra VO CO (E) ATK 12X1L Btl
801156;Mitra CO (E) GBP 12X950mL Btl
801157;Mitra CO (E) GBP 24X485mL Btl
801158;Mitra Classic CO (E) 1x18L JRC
801162;WFP PO CO VIT Gift of Canada 12X1L Btl
801163;WFP PO CO VIT Gift of EU 12X1L Btl
801170;Coco Vegetable CO (E) 1x18L JRC
801172;Olai Vegetable CO 48x250mL BTL
801173;Mitra VO CO (E) ATK 6X2L Btl
801174;Filma Cooking Oil (0716) 6x2L Pch
801175;Filma Cooking Oil (0716) 12x1L Pch
801179;Solina CO 1x20L Jrc
801184;Filma Cooking Oil (0816) 12x1L Btl
801185;Filma Cooking Oil (0816) 6x2L Btl
801190;Filma Signature Cooking Oil 6x2L Btl
801191;Filma Signature Cooking Oil 6x2L Pch
801192;Filma Signature Cooking Oil 12x1L Btl
801193;Filma Signature Cooking Oil 12x1L Pch
801195;I-SOC RBDCNO 1x18Kg BIB
801197;Blanco Veg CO (E) 1x25L JRC
801204;Filma Cooking Oil (0916) 4x5L Jrc
801205;RBDCNO Toll (RUS) 1x18Kg BIB
801206;RBDCNO Toll for Custom (RUS) 1x18Kg BIB
801207;Dyanas Veg CO CP10 YLW 1X20L Jrc
801208;Sabrina Veg CO Blue CP10 YLW 1X20L Jrc
801209;Sabrina Veg CO CP10 YLW 1X20L Jrc
801210;Tradekey Veg CO CP10 YLW 1X20L Jrc
801217;Filma Professional CO 1X18L BIB
801218;Filma Professional CO 1X18L Jrc
801221;Mitra CO (E) GBP 4x5L JRC
801222;Mitra CO (E) GBP 6X2L Btl
801228;Filma CO (1016) 1x18L BIB
801230;Filma CO (1016) 1X18L Jrc
801232;Filma CO (E) 4X5L BTL
801234;Delice Veg CO 1X20L Jrc
801237;Oil de Luxe Toll 1x18Kg BIB
801238;Oil de Luxe Toll for Custom 1x18Kg BIB
801239;I-SOC RBDCNO (E) GIL 1x18Kg BIB
801272;Mitra CO (E) SRP 1x25L JRC
801280;Mama Africa CO 1X20L Jrc
801281;Anna Veg CO 1X25L Jrc
801282;Anna Veg CO Vit 1X25L Jrc
801289;INGREDIS CO 1X25L Jrc
801291;Tasty Tom CO Vit 1x20L Jrc
801298;Mama Africa CO CP8 1X20L Jrc
801433;RBDOL FOR NESTLE 900KG PAPER IBC
801528;Kunci Mas CO SNI (0920) 1x20L Jrc
810020;Palmboom Margarine 1x15Kg Ctn
810022;Palmboom Margarine TF 24x250G Tub
810023;Palmboom Margarine 1x5Kg Ctn
810024;Palmboom Margarine TF 24x500G Tub
810111;Palmboom Margarine (E) 24X500G Tub
810160;Margarine Trial 250G Ctn
810330;Menara Eifel Mgrn (E-EW) 1X15Kg Ctn
810411;Margarine TRIAL 5 kg
810417;Obaapapa Margarine 60X250G Sch
810543;Davida Margarine 60X250G Sch
810544;Palmboom Margarine (E) 24X250G Tub
810548;Mitra Margarine (E) 60X250G Sch
810556;Sonia Margarine 60X250G Sch
810582;Mitra Margarine (E) 1X15Kg Ctn
810586;STK Royal Margarine 60X250G Sch
810591;Menara Eifel Mgrn (E) GH 60X250G Sch
810594;Mitra Margarine (E) 1X10Kg Pal
810595;Smart Baker Palmbom Mgrn (KW) 1X10Kg Ctn
810620;Smart Baker Mgrn GND LT (KW) 1X20Kg Ctn
810650;Olai Margarine 60X250G Sch
810688;Menara Eifel SPC MGRN (E) NG 1X20KG CTN
810694;Filma MGRN TF Salted 60X200G SCH
810699;Filma MGRN TF Salted 24X250G TUB
810713;Palmboom Cake MGRN 1X15KG CTN
810716;Menara Eifel Mgrn SPC (E) GH 1X15Kg CTN
810717;Menara Eifel Mgrn (E) TH 1X15Kg Ctn
810726;Filma MGRN TF 0815 1X15KG CT
810728;Falcon MGRN Pastry (0915) 1X15Kg Ctn
810730;Menara MGRN SPC GRN (E)(0915) 1X15Kg Ctn
810734;Filma MGRN Danish Pastry(0915) 6X2Kg Ctn
810736;Marimar MGRN (0915) 1X10Kg PAL
810739;Mitra MGRN (E) KND 60X250G Sch
810742;Palmvita MGRN KWH (E) 1X15Kg Ctn
810746;Mitra MGRN SPC (1115) 1x15kg Ctn
810748;Menara Eifel MGRN (1115) 1x15kg Ctn
810751;Mitra MGRN Krim (1115) 1x15kg Ctn
810752;Menara Eifel MGRN Krim (1115) 1x15kg Ctn
810754;Mitra MGRN (E) (1115) 60x250g SCH
810756;Menara Eifel MGRN (E) (1115) 1x10kg PAL
810757;Falcon MGRN SPC (1115) 1x15kg Ctn
810758;Haano MGRN (1115) 60x250g SCH
810759;Olivia MGRN (1215) 60x250g SCH
810761;Smart Bkr MGRN L PIE(E-KW1215)1X20Kg Ctn
810776;Milan MGRN (1215) 1X15KG CTN
810777;Palmvita MGRN (E) (1215) 1x18 KG PAL
810779;Superdough MGRN (1215) 1X15KG CTN
810780;Haano MGRN (1215) 1X15KG CTN
810783;Milan MGRN NG (1215) 60x250g SCH
810799;DE RICH MGRN 1X15KG CTN
810800;MENARA MGRN Bake Rich (E) 1X15KG CTN
810803;Menara Eifel MGRN (E) CMR 1x10kg PAL
810810;Jubi MGRN 1x15KG Ctn
810813;Haano MGRN 1X10 KG PAL
810815;Palmboom Cake MGRN 1116 1X15KG CTN
810816;Palmboom MGRN 1116 1X15KG CTN
810818;Filma MGRN 1116 1x15Kg Ctn
810820;Palmvita MGRN (1116) 1x15kg
810821;Gloria MGRN 1X15 KG Ctn
810822;Menara MGRN Krim (1116) 1x15kg Ctn
810823;Menara MGRN (1116) 1x15kg Ctn
810833;Filma MGRN Prestige 0117 1x10Kg PAL
810835;Haano MGRN ANS 1X10 KG PAL
810837;Smart Baker MGRN GLT (KW) KAC 1X10Kg Ctn
810840;Palmvita MGRN KWH (E) 0917 1X15Kg Ctn
810843;Haano MGRN GHN 1X15KG CTN
810844;Smart Baker MGRN L PIE (E)KAC 1X20Kg Ctn
810851;Menara Eifel MGRN (E) CMR 1x15Kg Ctn
810868;PALMVITA MGRN (E) ADT 1X20 Kg CTN
810878;Flagship Margarine WS (E) 1X15Kg CTN
810902;JUBI MGRN 60X250G SCH
810903;Seagull Frozen Fats MGRN (1019)1X15KgCTN
810915;Haano MGRN GHN 60x250g SCH
810920;PALMVITA MGRN (0520) (E) ADT 1X20 Kg CTN
810929;Palmvita MGRN (0720) 1x15kg Ctn
810931;Menara MGRN (0720) 1x15kg Ctn
810937;Menara MGRN Krim (0720) 1x15Kg Ctn
810938;PALMVITA MGRN (0820) TF 1X15KG CTN
810940;Haano MGRN GHN (0820) 1X15Kg Ctn
810941;Haano MGRN GHN (0820) 1X10Kg PAL
810943;HAANO MGRN NGN (0820) 1X15KG
810949;Menara Eifel Mgrn(E) (1020)CNE1x15Kg Ctn
810952;LIFE MGRN 60X250G SCH
810953;MENARA EIFEL MGRN 1120 GH 60X250G
811971;GOLDEN SEAGULL MGRN 15KG CTN
811973;Menara Eifel Mgrn (E)(0621) EW 1X15Kg Ctn
811975;Jubi MGRN (1021) 60x250G Sch
811984;Haano MGRN (1121) GHN 15Kg Ctn
