Material Code;Description
801521;FILMA CO SNI 12X1L BTL
801525;FILMA CO SNI 12X1L PCH
801522;FILMA CO SNI 4x5L Jrc
801523;FILMA CO SNI 6X2L BTL
801524;FILMA CO SNI 6X2L PCH
802582;Filma CO SNI NP 12x1L Pch
802583;Filma CO SNI NP 6x2L Pch
810917;FILMA MGRN TF SALTED (0420) 60X200G SCH
810921;Filma MGRN TF Salted (0520) 24X250G TUB
801500;KUNCI MAS CO SNI (0520) 12X900ML PCH
801502;KUNCI MAS CO SNI (0520) 24X450ML PCH
801501;KUNCI MAS CO SNI (0520) 48X200ML PCH
801491;Kunci Mas CO SNI (0520) 4x5L JRC
801494;Kunci Mas CO SNI (0520)24x485ML BTL
801495;Kunci Mas CO SNI(0520)12x950ML BTL
801490;Kunci Mas CO SNI(0520)6x1.9L BTL
801505;KUNCI MAS COOKING OIL SNI (0520)6X2L PCH
802591;Kunci Mas CO SNI NP 12x900ml Pch
802592;Kunci Mas CO SNI NP 6x2L Pch
801499;Masku CO SNI (0520) 12x900ML BTL
801497;MASKU CO SNI (0520) 24X485ML BTL
801503;Masku CO SNI (0520)12x1L PCH
802596;Masku CO SNI NP 12x1L Pch
802595;Masku CO SNI NP 6x2L Pch
801493;Masku Cooking Oil SNI (0520) 4x5L JRC
801504;Masku Cooking Oil SNI (0520) 6x2L PCH
802569;Mitra CO SNI (1121) 12x1L Pch
802570;Mitra CO SNI (1121) 4x5L Jrc
802568;Mitra CO SNI (1121) 6X2L Pch
802593;Mitra CO SNI NP 12x1L Pch
802597;Mitra CO SNI NP 4x5L Jrc
802594;Mitra CO SNI NP 6X2L Pch
801492;MITRA COOKING OIL SNI (0520) 4X5L JRC
810957;PALMBOOM MGRN TF (1220) 24X250G TUB
810958;PALMBOOM MGRN TF (1220) 24X500G TUB
