Material;Material Description; Weight(Kg) ;Principal
800653;Bissoil Cooking Oil 6x2L Pch;11.54; SMART 
830001;Delicio SF Coating Fat 1x15Kg Ctn;15.51; SMART 
830009;Delicio SF Toffee Fat 1x15Kg Ctn;15.56; SMART 
820400;Delicio Sht White BKF 1x15 kg;15.55;SMART
820616;Delicio Sht White BKF Toco 1x15 kg;15.00;SMART
821165;FILMA BCF SHT 1116 1x15 Kg Ctn;15.63; SMART 
801228;FILMA CO (1016) 1x18 Lt BIB;17.03; SMART 
801087;Filma CO 48x200mL PCH;9.72;SMART
801407;FILMA CO SNI 1x18 Lt BIB;16.26;none
801175;Filma Cooking Oil ( 0716 ) 12x1 L Pch;11.54;SMART
801437;Filma Cooking Oil ( 0716 ) 12x1 L Pch;11.54;SMART
801174;Filma Cooking Oil (0716) 6x2L Pch;11.54; SMART 
801438;Filma Cooking Oil (0716) 6x2L Pch;11.54; SMART 
801184;Filma Cooking Oil (0816) 12x1L Btl;11.64; SMART 
801435;Filma Cooking Oil (0816) 12x1L Btl;11.64; SMART 
801185;Filma Cooking Oil (0816) 6x2L Btl;11.71; SMART 
801436;Filma Cooking Oil (0816) 6x2L Btl;11.71; SMART 
801204;Filma Cooking Oil (0916) 4x5L Jrc;19.42; SMART 
801434;Filma Cooking Oil (0916) 4x5L Jrc;19.42; SMART 
801230;Filma Cooking Oil (1016) 1x18L Jrc;17.21; SMART 
800738;Filma Cooking Oil 12x1L Btl;10.84; SMART 
800744;Filma Cooking Oil 12x1L Pch;10.84; SMART 
800746;Filma Cooking Oil 1x18L Bib;16.26; SMART 
800742;Filma Cooking Oil 1x18L Jrc;16.26; SMART 
800737;Filma Cooking Oil 24x500Ml Btl;10.84; SMART 
800743;Filma Cooking Oil 24x500Ml Pch;10.84; SMART 
800740;Filma Cooking Oil 4x5L Jrc;18.07; SMART 
800739;Filma Cooking Oil 6x2L Btl;10.84; SMART 
800745;Filma Cooking Oil 6x2L Pch;10.84; SMART 
801448;Filma Cooking Oil VIT 1x18L Jrc;17.21;none
821162;Filma Goodfry Sht DFF 1x15 Kg Ctn;15.63;SMART
821163;Filma Goodfry Sht SLFO 1x18kg Tin;19.47;SMART
810418;Filma Margarin TG 60x200 g Sac(NOT USED);15.00; SMART 
810486;Filma Margarine 1x15Kg Ctn;15.00;SMART
810592;Filma Margarine Danish Pastry 6X2 Kg;12.00;SMART
810731;FILMA MGRN (0915) 1x15 Kg Ctn;15.00;SMART
810818;Filma MGRN 1116 1x15 Kg Ctn;15.50;SMART
810734;Filma MGRN Danish Pastry (0915) 6X2Kg Ctn;12.60;SMART
810833;FILMA MGRN Prestige 0117 1 x 10 Kg PAL;10.65; SMART 
810657;Filma MGRN Prestige 1x10 Kg Pail;10.00;SMART
810726;Filma MGRN TF 0815 1x15Kg CTN;15.00;SMART
810699;Filma MGRN TF Salted 24X250G TUB;7.11; SMART 
810896;Filma MGRN TF Salted 24X250G TUB;7.11; SMART 
810694;Filma MGRN TF Salted 60X200G SCH;13.11; SMART 
810894;Filma MGRN TF Salted 60X200G SCH;13.11; SMART 
801408;FILMA PROFESIONAL CO SNI 1x18 Lt BIB;16.26;none
801217;Filma Professional CO 1X18L BIB;17.02; SMART 
801218;Filma Professional CO 1X18L Jrc;17.21;SMART
821171;Filma Pusaka SHT Wht BKF 1x15 Kg Ctn;15.60; SMART 
820794;Filma Sht Baker's Cf 1x15Kg Ctn;15.00; SMART 
821109;Filma Sht Baker's Cf 1x15Kg Ctn;15.00;SMART
821134;FILMA Sht BISCUIT FAT 1 x 15 Kg Ctn;15.60; SMART 
821133;FILMA Sht Biscuit Fat TOCO 1x15 Kg Ctn;15.60; SMART 
821064;Filma Sht BOS (0715) 1x18 Kg Pail;19.22;SMART
820857;FILMA Sht BOS 1x18 Kg Pail;18.00;SMART
820808;Filma Sht Puff Pastry 6x2Kg Ctn;12.60; SMART 
801192;Filma Signature Cooking Oil 12x1 L Btl;11.64; SMART 
801193;Filma Signature Cooking Oil 12x1 L Pch;11.54;SMART
801190;Filma Signature Cooking Oil 6x2 L Btl;11.71; SMART 
801191;Filma Signature Cooking Oil 6x2 L Pch;11.54;SMART
820070;Goodfry Sht DFF 1x15Kg Ctn;15.00; SMART 
820659;Goodfry Sht SLFO 1x18Kg Tin;18.00; SMART 
820847;Goodfry Sht Spc DFF 1x15Kg Ctn;15.00;SMART
830259;i-soc CBS 35 20 kg;20.78; SMART 
801135;Kunci Mas 12x900 ml Pch;10.42;SMART
801404;Kunci Mas 12x900 ml Pch;10.42;SMART
801011;Kunci Mas CO 1x20 L Jrc;19.17;SMART
801138;KUNCI MAS CO 24x450 ml PCH;10.74;SMART
801406;KUNCI MAS CO 24x450 ml PCH;10.74;SMART
801137;Kunci Mas CO 48x200 ml Pch;9.72;SMART
801389;Kunci Mas CO 48x200 ml Pch;9.72;SMART
801136;Kunci Mas CO 6 x 1.8 L PCH;10.43;SMART
801402;Kunci Mas CO 6 x 1.8 L PCH;10.43;SMART
800756;Kunci Mas Cooking Oil 12x1L Pch;10.84; SMART 
800749;Kunci Mas Cooking Oil 12x950Ml Btl;11.12; SMART 
800755;KUNCI MAS Cooking Oil 18 L Jrc;17.21;SMART
800758;Kunci Mas Cooking Oil 1x18L Bib;17.03; SMART 
800748;Kunci Mas Cooking Oil 24x485Ml Btl;11.49; SMART 
801385;Kunci Mas Cooking Oil 24x485Ml Btl;11.49; SMART 
800760;Kunci Mas Cooking Oil 48x225Ml Pch;9.76; SMART 
800754;Kunci Mas Cooking Oil 4x5L Jrc;19.41; SMART 
801378;Kunci Mas Cooking Oil 4x5L Jrc;19.41; SMART 
800751;Kunci Mas Cooking Oil 6x1.9L Btl;11.18; SMART 
