RG;CLUSTER;LTPOD
ADPSALE REMBANG-ADPKOSAMBI;JABODETABEK;6
ADSDENPASAR TIMUR-ADSCAKRANEGARA;BALI;5
ADSDENPASAR TIMUR-ADSCAKRANEGARA;BALI;5
ADSDENPASAR TIMUR-ADSCAKRANEGARA;BALI;5
ADSDENPASAR TIMUR-ADSCAKRANEGARA;BALI;5
ADSDENPASAR TIMUR-ADSCAKRANEGARA;BALI;5
ADSDENPASAR TIMUR-ADSKUTA;BALI;5
ADSSIDOARJO-ADSAJUNG;JAWA TIMUR;3
ADSSIDOARJO-ADSAJUNG;JAWA TIMUR;3
ADSSIDOARJO-ADSAJUNG;JAWA TIMUR;3
ADSSIDOARJO-ADSBENOWO;KOTA SURABAYA;2
ADSSIDOARJO-ADSBENOWO;KOTA SURABAYA;2
ADSSIDOARJO-ADSBENOWO;KOTA SURABAYA;2
ADSSIDOARJO-ADSBENOWO;KOTA SURABAYA;2
ADSSIDOARJO-ADSBLIMBING;JAWA TIMUR;3
ADSSIDOARJO-ADSBLIMBING;JAWA TIMUR;3
ADSSIDOARJO-ADSWONOKROMO;KOTA SURABAYA;2
AIDASEMROWO(1P)-AIDPRINGAPUS;;
AIDASEMROWO(PP)-AIDPRINGAPUS;JAWA TENGAH;5
AIDASEMROWO-AIDGRESIK;;3
AIDASEMROWO-AIDPRINGAPUS;;5
AIDDRIYOREJO-AIDASEMROWO;KOTA SURABAYA;2
AJIJETIS(1P)-AJINGALIYAN;JAWA TENGAH;5
AJIJETIS(1P)-AJISEWON;JAWA TENGAH;5
AJIJETIS(PP)-AJINGALIYAN;JAWA TENGAH;5
AJIJETIS(PP)-AJISEWON;JAWA TENGAH;5
AJIJETIS-AJIBALEENDAH;JAWA BARAT;6
AJIJETIS-AJIBUNGURSARI TASIKMALAYA;JAWA BARAT;6
AJIJETIS-AJICANDI;KOTA SURABAYA;2
AJIJETIS-AJIDENPASAR UTARA;BALI;5
AJIJETIS-AJIJATIROGO;JAWA TIMUR;3
AJIJETIS-AJIJATIROGO;JAWA TIMUR;3
AJIJETIS-AJIKADEMANGAN PROBOLINGGO;JAWA TENGAH;5
AJIJETIS-AJIKENJERAN;JAWA TIMUR;3
AJIJETIS-AJIKENJERAN;JAWA TIMUR;3
AJIJETIS-AJIKLOJEN;JAWA TIMUR;3
AJIJETIS-AJIKOTA KEDIRI;JAWA TIMUR;3
AJIJETIS-AJIKOTA KEDIRI;JAWA TIMUR;3
AJIJETIS-AJIKRATON;JAWA TENGAH;5
AJIJETIS-AJIKRATON;JAWA TENGAH;5
AJIJETIS-AJIKRATON;JAWA TENGAH;5
AJIJETIS-AJILABUAPI;NTB;6
AJIJETIS-AJINGALIYAN;JAWA TENGAH;5
AJIJETIS-AJIPANGGUNGREJO;JAWA TIMUR;3
AJIJETIS-AJIPANGGUNGREJO;KOTA SURABAYA;2
AJIJETIS-AJIPURWOKERTO SELATAN;JAWA TENGAH;5
AJIJETIS-AJIRUNGKUT;JAWA TIMUR;3
AJIJETIS-AJISEWON BANTUL;JAWA TENGAH;5
AJIJETIS-AJISINGOSARI(SAT);JAWA TIMUR;3
AJIJETIS-AJITALUN CIREBON;JAWA BARAT;6
AJIJETIS-AJITUBAN;JAWA TIMUR;3
AKLKEBOMAS-AKLJAWILAN;BANTEN;5
ALSPANDAAN-ALSCIKARANG UTARA;JABODETABEK;6
AMABLIMBING-AMASIDOARJO;JAWA TIMUR;3
AMASIDOARJO-AMADRIYOREJO;JAWA TIMUR;3
AMASIDOARJO-AMAJENU TUBAN;JAWA TIMUR;3
AMASIDOARJO-AMAJOMBANG;JAWA TIMUR;3
AMASIDOARJO-AMAKEDUNGWARU;KOTA SURABAYA;2
AMASIDOARJO-AMAKRIAN;KOTA SURABAYA;2
AMASIDOARJO-AMAMAOSPATI;JAWA TIMUR;3
AMASIDOARJO-AMANGAWI;JAWA TIMUR;3
AMASIDOARJO-AMANGORO;JAWA TIMUR;3
AMASIDOARJO-AMAPATRANG;JAWA TIMUR;3
AMASIDOARJO-AMASUKODONO;KOTA SURABAYA;2
AMASIDOARJO-AMATAMAN;KOTA SURABAYA;2
AMASIDOARJO-AMAWARU;KOTA SURABAYA;2
AMASIDOARJO-AMAWIYUNG;KOTA SURABAYA;2
AMPASEMROWO-AMPJATEN;JAWA TENGAH;5
AMPGRESIK-AMPASEMROWO;KOTA SURABAYA;2
